time_step,nums,service_type
1,3,A
1,2,B
1,5,C
2,6,A
2,4,B
2,10,C
3,9,A
3,6,B
3,15,C
4,12,A
4,8,B
4,20,C
5,15,A
5,10,B
5,25,C
6,18,A
6,12,B
6,30,C
7,21,A
7,14,B
7,35,C
8,24,A
8,16,B
8,40,C
9,27,A
9,18,B
9,45,C
10,30,A
10,20,B
10,50,C
11,33,A
11,22,B
11,55,C
12,36,A
12,24,B
12,60,C
13,39,A
13,26,B
13,65,C
14,42,A
14,28,B
14,70,C
15,45,A
15,30,B
15,75,C
16,48,A
16,32,B
16,80,C
17,51,A
17,34,B
17,85,C
18,54,A
18,36,B
18,90,C
19,57,A
19,38,B
19,95,C
20,60,A
20,40,B
20,100,C
21,63,A
21,42,B
21,105,C
22,66,A
22,44,B
22,110,C
23,69,A
23,46,B
23,115,C
24,72,A
24,48,B
24,120,C
25,75,A
25,50,B
25,125,C
26,78,A
26,52,B
26,130,C
27,81,A
27,54,B
27,135,C
28,84,A
28,56,B
28,140,C
29,87,A
29,58,B
29,145,C
30,90,A
30,60,B
30,150,C
31,93,A
31,62,B
31,155,C
32,96,A
32,64,B
32,160,C
33,99,A
33,66,B
33,165,C
34,102,A
34,68,B
34,170,C
35,105,A
35,70,B
35,175,C
36,108,A
36,72,B
36,180,C
37,111,A
37,74,B
37,185,C
38,114,A
38,76,B
38,190,C
39,117,A
39,78,B
39,195,C
40,120,A
40,80,B
40,200,C
41,123,A
41,82,B
41,205,C
42,126,A
42,84,B
42,210,C
43,129,A
43,86,B
43,215,C
44,132,A
44,88,B
44,220,C
45,135,A
45,90,B
45,225,C
46,138,A
46,92,B
46,230,C
47,141,A
47,94,B
47,235,C
48,144,A
48,96,B
48,240,C
49,147,A
49,98,B
49,245,C
50,150,A
50,100,B
50,250,C
51,153,A
51,102,B
51,255,C
52,156,A
52,104,B
52,260,C
53,159,A
53,106,B
53,265,C
54,162,A
54,108,B
54,270,C
55,165,A
55,110,B
55,275,C
56,168,A
56,112,B
56,280,C
57,171,A
57,114,B
57,285,C
58,174,A
58,116,B
