time_step,nums,service_type
1,2,A
1,4,B
1,4,C
2,4,A
2,8,B
2,8,C
3,6,A
3,12,B
3,12,C
4,8,A
4,16,B
4,16,C
5,10,A
5,20,B
5,20,C
6,12,A
6,24,B
6,24,C
7,14,A
7,28,B
7,28,C
8,16,A
8,32,B
8,32,C
9,18,A
9,36,B
9,36,C
10,20,A
10,40,B
10,40,C
11,22,A
11,44,B
11,44,C
12,24,A
12,48,B
12,48,C
13,26,A
13,52,B
13,52,C
14,28,A
14,56,B
14,56,C
15,30,A
15,60,B
15,60,C
16,32,A
16,64,B
16,64,C
17,34,A
17,68,B
17,68,C
18,36,A
18,72,B
18,72,C
19,38,A
19,76,B
19,76,C
20,41,A
20,80,B
20,80,C
21,46,A
21,84,B
21,84,C
22,51,A
22,88,B
22,88,C
23,56,A
23,92,B
23,92,C
24,61,A
24,96,B
24,96,C
25,66,A
25,100,B
25,100,C
26,71,A
26,104,B
26,104,C
27,76,A
27,108,B
27,108,C
28,81,A
28,112,B
28,112,C
29,86,A
29,116,B
29,116,C
30,91,A
30,120,B
30,120,C
31,96,A
31,124,B
31,124,C
32,101,A
32,128,B
32,128,C
33,106,A
33,132,B
33,132,C
34,111,A
34,136,B
34,136,C
35,116,A
35,140,B
35,140,C
36,121,A
36,144,B
36,144,C
37,126,A
37,148,B
37,148,C
38,131,A
38,152,B
38,152,C
39,136,A
39,156,B
39,156,C
40,141,A
40,160,B
40,160,C
41,146,A
41,164,B
41,164,C
42,151,A
42,168,B
42,168,C
43,156,A
43,172,B
43,172,C
44,161,A
44,176,B
44,176,C
45,166,A
45,180,B
45,180,C
46,171,A
46,184,B
46,184,C
47,176,A
47,188,B
47,188,C
48,181,A
48,192,B
48,192,C
49,186,A
49,196,B
49,196,C
50,191,A
50,200,B
50,200,C
51,196,A
51,204,B
51,204,C
52,201,A
52,208,B
52,208,C
53,206,A
53,212,B
53,212,C
54,211,A
54,216,B
54,216,C
55,216,A
55,220,B
55,220,C
56,221,A
56,224,B
56,224,C
57,226,A
57,228,B
57,228,C
58,231,A
58,232,B
58,232,C
59,236,A
59,236,B
59,237,C
60,241,A
60,240,B
60,244,C
61,246,A
61,244,B
61,251,C
62,251,A
62,248,B
62,258,C
63,256,A
63,252,B
63,265,C
64,261,A
64,256,B
64,272,C
65,266,A
65,260,B
65,279,C
66,271,A
66,264,B
66,286,C
67,276,A
67,268,B
67,293,C
68,281,A
68,272,B
68,300,C
69,286,A
69,276,B
69,307,C
70,291,A
70,280,B
70,314,C
71,296,A
71,284,B
71,321,C
72,301,A
72,288,B
72,328,C
73,306,A
73,292,B
73,335,C
74,311,A
74,296,B
74,342,C
75,316,A
75,300,B
75,349,C
76,321,A
76,304,B
76,356,C
77,326,A
77,308,B
77,363,C
78,331,A
78,312,B
78,370,C
79,336,A
79,316,B
79,377,C
80,341,A
80,320,B
80,384,C
81,346,A
81,325,B
81,391,C
82,351,A
82,332,B
82,398,C
83,356,A
83,339,B
83,405,C
84,361,A
84,346,B
84,412,C
85,366,A
85,353,B
85,419,C
86,371,A
86,360,B
86,426,C
87,376,A
87,367,B
87,433,C
88,381,A
88,374,B
88,440,C
89,386,A
89,381,B
89,447,C
90,391,A
90,388,B
90,454,C
91,396,A
91,395,B
91,461,C
92,401,A
92,402,B
92,468,C
93,406,A
93,409,B
93,475,C
94,411,A
94,416,B
94,482,C
95,416,A
95,423,B
95,489,C
96,421,A
96,430,B
96,496,C
97,427,A
97,437,B
97,503,C
98,435,A
98,444,B
98,510,C
99,443,A
99,453,B
99,517,C
100,451,A
100,466,B
100,524,C
101,459,A
101,479,B
101,531,C
102,467,A
102,492,B
102,538,C
103,475,A
103,505,B
103,545,C
104,483,A
104,518,B
104,552,C
105,491,A
105,531,B
105,559,C
106,499,A
106,544,B
106,566,C
107,507,A
107,557,B
107,573,C
108,515,A
108,571,B
108,580,C
109,523,A
109,587,B
109,587,C
110,531,A
110,603,B
110,594,C
111,539,A
111,619,B
111,601,C
112,547,A
112,635,B
112,608,C
113,555,A
113,651,B
113,615,C
114,563,A
114,667,B
114,622,C
115,571,A
115,683,B
115,629,C
116,579,A
116,699,B
116,636,C
117,587,A
117,715,B
117,643,C
118,595,A
118,731,B
118,651,C
119,603,A
119,747,B
119,661,C
120,611,A
120,763,B
120,671,C
121,619,A
121,779,B
121,681,C
122,627,A
122,795,B
122,691,C
123,635,A
123,811,B
123,701,C
124,643,A
124,827,B
124,711,C
125,651,A
125,843,B
125,721,C
126,659,A
126,859,B
126,731,C
127,667,A
127,875,B
127,741,C
128,675,A
128,891,B
128,751,C
129,683,A
129,907,B
129,761,C
130,691,A
130,923,B
130,771,C
131,699,A
131,939,B
131,781,C
132,707,A
132,955,B
132,791,C
133,715,A
133,971,B
133,801,C
134,723,A
134,987,B
134,811,C
135,731,A
135,1003,B
135,821,C
136,739,A
136,1019,B
136,831,C
137,747,A
137,1035,B
137,841,C
138,755,A
138,1051,B
138,851,C
139,763,A
139,1067,B
139,861,C
140,771,A
140,1083,B
140,871,C
141,779,A
141,1099,B
141,881,C
142,787,A
142,1115,B
142,891,C
143,795,A
143,1131,B
143,901,C
144,803,A
144,1147,B
144,911,C
145,811,A
145,1163,B
145,921,C
146,819,A
146,1179,B
146,931,C
147,827,A
147,1195,B
147,941,C
148,835,A
148,1211,B
148,951,C
149,843,A
149,1227,B
149,961,C
150,851,A
150,1243,B
150,971,C
151,860,A
151,1259,B
151,981,C
152,870,A
152,1275,B
152,991,C
153,880,A
153,1291,B
153,1001,C
154,890,A
154,1307,B
154,1011,C
155,900,A
155,1323,B
155,1021,C
156,910,A
156,1339,B
156,1031,C
157,920,A
157,1355,B
157,1041,C
158,931,A
