time_step,energy,service_type
1,2774.337069966402,A
1,3469.071019999309,B
1,2938.924198146759,C
2,2754.337069966402,A
2,3449.071019999309,B
2,2918.924198146759,C
3,2734.337069966402,A
3,3369.571019999309,B
3,2898.924198146759,C
4,2714.337069966402,A
4,3309.571019999309,B
4,2878.924198146759,C
5,2694.337069966402,A
5,3286.446019999309,B
5,2858.924198146759,C
6,2674.337069966402,A
6,3433.039834095226,B
6,2838.924198146759,C
7,2654.337069966402,A
7,3377.039834095226,B
7,2818.924198146759,C
8,2634.337069966402,A
8,3353.914834095226,B
8,2798.924198146759,C
9,2614.337069966402,A
9,3330.789834095226,B
9,2778.924198146759,C
10,2594.337069966402,A
10,3520.244099259242,B
10,2758.924198146759,C
11,2366.337069966402,A
11,3500.244099259242,B
11,2738.924198146759,C
12,2340.087069966402,A
12,3434.744099259242,B
12,2718.924198146759,C
13,2313.837069966402,A
13,3591.908353471627,B
13,2698.924198146759,C
14,2293.837069966402,A
14,3568.783353471627,B
14,2604.424198146759,C
15,2729.3322428238557,A
15,3548.783353471627,B
15,2581.299198146759,C
16,2709.3322428238557,A
16,3528.783353471627,B
16,2558.174198146759,C
17,2689.3322428238557,A
17,3508.783353471627,B
17,2538.174198146759,C
18,2669.3322428238557,A
18,6885.3114865801535,B
18,2518.174198146759,C
19,10030.25671664083,A
19,5460.649189264123,B
19,2498.174198146759,C
20,6666.837811093887,A
20,3878.677992331516,B
20,2478.174198146759,C
21,3980.102686656332,A
21,3858.677992331516,B
21,2631.10095729237,C
22,3960.102686656332,A
22,3838.677992331516,B
22,2611.10095729237,C
23,3940.102686656332,A
23,3818.677992331516,B
23,2591.10095729237,C
24,3920.102686656332,A
24,3798.677992331516,B
24,2571.10095729237,C
25,3900.102686656332,A
25,3883.741507263521,B
25,2514.60095729237,C
26,3851.102686656332,A
26,3863.741507263521,B
26,2491.47595729237,C
27,3828.602686656332,A
27,3843.741507263521,B
27,2468.35095729237,C
28,3806.102686656332,A
28,3823.741507263521,B
28,2377.35095729237,C
29,3786.102686656332,A
29,3803.741507263521,B
29,2354.22595729237,C
30,3766.102686656332,A
30,3783.741507263521,B
30,2331.10095729237,C
31,3746.102686656332,A
31,3763.741507263521,B
31,2532.2848356986483,C
32,3910.1163423101184,A
32,3743.741507263521,B
32,2512.2848356986483,C
33,3890.1163423101184,A
33,3688.1700786920924,B
33,2492.2848356986483,C
34,3870.1163423101184,A
34,3668.1700786920924,B
34,2472.2848356986483,C
35,3850.1163423101184,A
35,3648.1700786920924,B
35,2657.38782563361,C
36,3830.1163423101184,A
36,3628.1700786920924,B
36,2637.38782563361,C
37,3810.1163423101184,A
37,3608.1700786920924,B
37,2617.38782563361,C
38,3790.1163423101184,A
38,3699.7515682052153,B
38,2597.38782563361,C
39,3770.1163423101184,A
39,3679.7515682052153,B
39,2824.0401933018497,C
40,3750.1163423101184,A
40,3659.7515682052153,B
40,2804.0401933018497,C
41,3730.1163423101184,A
41,3639.7515682052153,B
41,2784.0401933018497,C
42,3710.1163423101184,A
42,3619.7515682052153,B
42,2764.0401933018497,C
43,3690.1163423101184,A
43,3567.3229967766442,B
43,2744.0401933018497,C
44,3670.1163423101184,A
44,3545.5372824909296,B
44,2724.0401933018497,C
45,3650.1163423101184,A
45,3523.7515682052153,B
45,2704.0401933018497,C
46,3630.1163423101184,A
46,3503.7515682052153,B
46,2619.5401933018497,C
47,3610.1163423101184,A
47,3446.3229967766442,B
47,2599.5401933018497,C
48,3590.1163423101184,A
48,3424.5372824909296,B
48,2579.5401933018497,C
49,3570.1163423101184,A
49,3404.5372824909296,B
49,2559.5401933018497,C
50,3550.1163423101184,A
50,3493.6326804265955,B
50,2779.0556455995084,C
51,3530.1163423101184,A
51,3473.6326804265955,B
51,2759.0556455995084,C
52,3510.1163423101184,A
52,3453.6326804265955,B
52,2739.0556455995084,C
53,3490.1163423101184,A
53,3505.7036445676335,B
53,2719.0556455995084,C
54,3470.1163423101184,A
54,3485.7036445676335,B
54,2699.0556455995084,C
55,3450.1163423101184,A
55,3465.7036445676335,B
55,2679.0556455995084,C
56,3430.1163423101184,A
56,3445.7036445676335,B
56,2659.0556455995084,C
57,3410.1163423101184,A
57,3425.7036445676335,B
57,2639.0556455995084,C
58,3390.1163423101184,A
58,3405.7036445676335,B
58,2619.0556455995084,C
59,3370.1163423101184,A
59,3385.7036445676335,B
59,2599.0556455995084,C
60,3350.1163423101184,A
60,3365.7036445676335,B
60,2579.0556455995084,C
61,3330.1163423101184,A
61,3345.7036445676335,B
61,2559.0556455995084,C
62,3310.1163423101184,A
62,3325.7036445676335,B
62,2539.0556455995084,C
63,3290.1163423101184,A
63,3279.1322159962046,B
63,2519.0556455995084,C
64,3270.1163423101184,A
64,3257.3465017104904,B
64,2499.0556455995084,C
65,3250.1163423101184,A
65,3235.560787424776,B
65,2479.0556455995084,C
66,3230.1163423101184,A
66,3215.560787424776,B
66,2459.0556455995084,C
67,3210.1163423101184,A
67,3195.560787424776,B
67,2439.0556455995084,C
68,3190.1163423101184,A
68,3175.560787424776,B
68,2419.0556455995084,C
69,3170.1163423101184,A
69,3155.560787424776,B
69,2399.0556455995084,C
70,3150.1163423101184,A
70,3250.4329464864863,B
70,2379.0556455995084,C
71,3130.1163423101184,A
71,3230.4329464864863,B
71,2359.0556455995084,C
72,3110.1163423101184,A
72,3177.7186607722006,B
72,2280.8056455995084,C
73,3090.1163423101184,A
73,3155.9329464864863,B
73,2257.6806455995084,C
74,3070.1163423101184,A
74,3118.2186607722006,B
74,2237.6806455995084,C
75,3050.1163423101184,A
75,3096.4329464864863,B
75,2217.6806455995084,C
76,3030.1163423101184,A
76,3056.7900893436295,B
76,2197.6806455995084,C
77,3010.1163423101184,A
77,3035.004375057915,B
77,2392.527941054469,C
78,2990.1163423101184,A
78,3127.5249723662196,B
78,2372.527941054469,C
79,2915.7163423101183,A
79,3070.0249723662196,B
79,2352.527941054469,C
80,2893.2163423101183,A
80,3048.2392580805054,B
