time_step,eq_times_productivity,tax_rate
1,27540.269205077766,0.25
2,27204.854044983018,0.25
3,26985.409600538573,0.25
4,26765.965156094127,0.25
5,26546.520711649682,0.25
6,26327.07626720524,0.25
7,26107.63182276079,0.25
8,25888.18737831635,0.25
9,25529.41246336963,0.25
10,25287.745796702962,0.25
11,26020.371717705966,0.25
12,25800.92727326152,0.25
13,25581.48282881708,0.25
14,26286.788738228308,0.25
15,25960.16565105624,0.25
16,25721.27676216735,0.25
17,25482.387873278458,0.25
18,25265.72120661179,0.25
19,26130.88052075022,0.25
20,25930.88052075022,0.25
21,26546.30762672338,0.25
22,27023.851488103464,0.25
23,26823.851488103468,0.25
24,26623.851488103468,0.25
25,26423.851488103464,0.25
26,26223.851488103468,0.25
27,26023.851488103468,0.25
28,25823.851488103464,0.25
29,25623.851488103468,0.25
30,25423.851488103468,0.25
31,25844.282133247336,0.25
32,25644.282133247336,0.25
33,25444.282133247336,0.25
34,25244.282133247336,0.25
35,24998.71919511873,0.25
36,24675.190723378277,0.25
37,24345.983569830838,0.25
38,24083.84743464009,0.25
39,23837.35142590018,0.25
40,23623.462537011288,0.25
41,24200.255148379678,0.25
42,24738.676092948193,0.25
43,24517.453905303668,0.25
44,24788.483688117376,0.25
45,24588.483688117372,0.25
46,25021.25606024338,0.25
47,25967.892094705683,0.25
48,25754.003205816793,0.25
49,25535.87078189108,0.25
50,25335.87078189108,0.25
51,25693.917264292704,0.25
52,25634.87731351656,0.25
53,25576.895348722028,0.25
54,25376.895348722028,0.25
55,25176.895348722028,0.25
56,24978.928107648015,0.25
57,24753.92810764801,0.25
58,24528.928107648015,0.25
59,24303.92810764801,0.25
60,24103.92810764801,0.25
61,24744.628835423468,0.25
62,24483.515810996407,0.25
63,25427.36623928731,0.25
64,25169.32683469579,0.25
65,24960.993501362456,0.25
66,24666.077345946247,0.25
67,24437.90798529245,0.25
68,24657.05791147394,0.25
69,24443.169022585054,0.25
70,24229.280133696164,0.25
71,25017.009844295415,0.25
72,25306.990365874,0.25
73,25067.130276185482,0.25
