time_step,productivity,tax_rate
1,31180.655012517076,0.25
2,30980.655012517076,0.25
3,30542.655012517076,0.25
4,30182.655012517076,0.25
5,29970.155012517076,0.25
6,30436.530268900744,0.25
7,30092.530268900744,0.25
8,29880.030268900744,0.25
9,29667.530268900744,0.25
10,30305.347329556807,0.25
11,29689.347329556804,0.25
12,29476.847329556804,0.25
13,29985.50434640635,0.25
14,29487.50434640635,0.25
15,30185.994692121254,0.25
16,29973.494692121254,0.25
17,29760.994692121254,0.25
18,29548.494692121254,0.25
19,44097.84363975521,0.25
20,43865.34363975521,0.25
21,43592.8436397552,0.25
22,43320.3436397552,0.25
23,42901.8436397552,0.25
24,42616.8436397552,0.25
25,42331.8436397552,0.25
26,41914.3436397552,0.25
27,41629.3436397552,0.25
28,41060.3436397552,0.25
29,41685.07915338031,0.25
30,42510.40773122138,0.25
31,42237.90773122138,0.25
32,41977.90773122138,0.25
33,42637.97600949031,0.25
34,42377.97600949031,0.25
35,42622.634879697864,0.25
36,42362.634879697864,0.25
37,42102.634879697864,0.25
38,41842.634879697864,0.25
39,41582.634879697864,0.25
40,41322.634879697864,0.25
41,41062.63487969786,0.25
42,40802.63487969786,0.25
43,40542.63487969786,0.25
44,40046.634879697864,0.25
45,39774.134879697864,0.25
46,39243.634879697864,0.25
47,38721.634879697864,0.25
48,38449.134879697864,0.25
49,38189.134879697864,0.25
50,38887.1966888885,0.25
51,39405.09909715293,0.25
52,39132.59909715293,0.25
53,39364.5958461402,0.25
54,39104.5958461402,0.25
55,38844.5958461402,0.25
56,38584.5958461402,0.25
57,38324.5958461402,0.25
58,47620.22719639706,0.25
59,47340.22719639706,0.25
60,47020.22719639706,0.25
61,46700.227196397056,0.25
62,46380.227196397056,0.25
63,46060.227196397056,0.25
64,45740.227196397056,0.25
65,45420.227196397056,0.25
66,45100.227196397056,0.25
67,44780.227196397056,0.25
68,44319.227196397056,0.25
69,43986.727196397056,0.25
70,42995.227196397056,0.25
71,42625.22719639707,0.25
72,42163.72719639707,0.25
73,41818.72719639707,0.25
74,41473.72719639707,0.25
75,42000.6163782169,0.25
76,42534.41677230975,0.25
