time_step,eq_times_productivity,tax_rate
1,27054.88443075252,0.15
2,26854.88443075252,0.15
3,26212.428056901917,0.15
4,25905.76139023525,0.15
5,25697.428056901917,0.15
6,26676.427640335096,0.15
7,26245.440442101266,0.15
8,26023.218219879043,0.15
9,25800.995997656824,0.15
10,26143.59158813728,0.15
11,26034.678699115757,0.15
12,25691.123143560202,0.15
13,26202.725060894158,0.15
14,25994.391727560826,0.15
15,26262.623246843425,0.15
16,26037.62324684342,0.15
17,25812.62324684342,0.15
18,25817.057316626953,0.15
19,33496.254589109856,0.15
20,42787.1763384404,0.15
21,50508.23387128583,0.15
22,50163.23387128583,0.15
23,49545.7005379525,0.15
24,49177.367204619164,0.15
25,48931.89791992545,0.15
26,48586.89791992545,0.15
27,48241.89791992546,0.15
28,47404.63125325879,0.15
29,48586.13750490979,0.15
30,48242.80417157646,0.15
31,51023.374468368114,0.15
32,50703.374468368114,0.15
33,50030.152611929814,0.15
34,49710.152611929814,0.15
35,50397.510846355355,0.15
36,50077.510846355355,0.15
37,49757.510846355355,0.15
38,50365.09852113428,0.15
39,50045.09852113428,0.15
40,49725.09852113428,0.15
41,50014.637867710975,0.15
42,49694.637867710975,0.15
43,49138.15448437764,0.15
44,48390.214533848775,0.15
45,48031.88120051544,0.15
46,47188.56183516093,0.15
47,46868.56183516092,0.15
48,46213.5745624292,0.15
49,45875.60154550573,0.15
50,46934.076394386655,0.15
51,48471.74086567738,0.15
52,48135.07419901071,0.15
53,47798.40753234404,0.15
54,48209.00655192238,0.15
55,47889.00655192238,0.15
56,47569.00655192238,0.15
57,47249.00655192238,0.15
58,47403.11285936115,0.15
59,50423.25152742971,0.15
60,55098.644443535144,0.15
61,55164.071472644595,0.15
62,54764.62702820015,0.15
63,54384.62702820015,0.15
64,54004.62702820015,0.15
65,54884.28175857501,0.15
66,54919.36328469722,0.15
67,54535.19661803055,0.15
68,54155.19661803055,0.15
69,53540.767456901616,0.15
70,52885.89385132823,0.15
71,52903.900151435155,0.15
72,52449.55252797478,0.15
73,52069.552527974774,0.15
74,51689.552527974774,0.15
75,51309.55252797478,0.15
76,50934.00120080498,0.15
77,51708.211105632305,0.15
78,51307.37777229897,0.15
79,50544.02355052701,0.15
80,50143.19021719368,0.15
81,50421.26427783083,0.15
82,50041.26427783083,0.15
83,49661.26427783083,0.15
84,49829.10405100292,0.15
85,50168.43221980493,0.15
86,49514.66191619924,0.15
87,49016.62063830327,0.15
88,48607.4539716366,0.15
89,48160.900596292435,0.15
90,47861.06967757693,0.15
91,47534.48094824421,0.15
92,47408.21083044872,0.15
93,46844.28050785442,0.15
94,46167.652170934816,0.15
95,47485.4969026805,0.15
96,47017.9969026805,0.15
97,47077.18606181339,0.15
98,49196.29238327486,0.15
99,53346.97875143112,0.15
100,57840.895493858596,0.15
101,58109.72621862409,0.15
102,57819.646135927585,0.15
103,60682.794217512135,0.15
104,63905.57661689697,0.15
105,64764.0479621064,0.15
106,67699.25325436426,0.15
107,74657.36368807152,0.15
108,73518.28961399743,0.15
109,72906.43776214558,0.15
110,72299.34012015491,0.15
111,73187.42027903604,0.15
112,72602.42027903604,0.15
113,73368.91184889709,0.15
114,73777.4725888179,0.15
115,74337.04092950757,0.15
116,73424.58883499117,0.15
117,72731.26613986614,0.15
118,72135.15502875502,0.15
119,71538.33027175443,0.15
120,70592.37357159656,0.15
121,71235.21006407884,0.15
122,70041.3599261344,0.15
123,69108.02170278243,0.15
124,69202.35332879997,0.15
125,69852.50857027054,0.15
126,70529.0006353787,0.15
127,70945.98401363028,0.15
128,72118.63084164269,0.15
129,72374.7239885156,0.15
130,72319.58418928496,0.15
131,74217.5424633727,0.15
132,73257.1434942358,0.15
133,72755.94048984016,0.15
134,75964.37912303607,0.15
135,80297.76522596892,0.15
136,80554.99710951906,0.15
137,81217.21822070127,0.15
138,80346.19128220549,0.15
139,80904.63582879512,0.15
140,80505.38550882821,0.15
