time_step,productivity,tax_rate
1,31180.655012517076,0.15
2,30980.655012517076,0.15
3,30542.655012517076,0.15
4,30182.655012517076,0.15
5,29970.155012517076,0.15
6,30436.530268900744,0.15
7,30092.530268900744,0.15
8,29880.030268900744,0.15
9,29667.530268900744,0.15
10,30305.347329556807,0.15
11,29689.347329556807,0.15
12,29294.847329556807,0.15
13,29791.00434640635,0.15
14,29578.50434640635,0.15
15,29991.494692121258,0.15
16,29778.994692121254,0.15
17,29566.494692121254,0.15
18,42940.10722455536,0.15
19,57331.45617218931,0.15
20,57026.45617218931,0.15
21,56693.95617218931,0.15
22,56361.45617218931,0.15
23,55882.95617218931,0.15
24,55537.95617218931,0.15
25,55928.400776713344,0.15
26,55595.900776713344,0.15
27,55263.400776713344,0.15
28,54646.900776713344,0.15
29,55199.13629033846,0.15
30,54866.63629033846,0.15
31,55631.96486817952,0.15
32,55311.96486817952,0.15
33,54742.96486817952,0.15
34,54422.96486817952,0.15
35,54607.623738387076,0.15
36,54287.623738387076,0.15
37,53967.623738387076,0.15
38,54428.69416497894,0.15
39,54108.69416497894,0.15
40,53788.69416497894,0.15
41,53468.69416497894,0.15
42,53148.69416497894,0.15
43,52601.69416497894,0.15
44,52033.19416497894,0.15
45,51688.19416497894,0.15
46,51097.69416497894,0.15
47,50777.69416497894,0.15
48,50195.69416497894,0.15
49,49863.19416497894,0.15
50,50501.25597416957,0.15
51,51722.826167983665,0.15
52,51390.326167983665,0.15
53,51057.826167983665,0.15
54,51242.32291697092,0.15
55,50922.32291697092,0.15
56,50602.32291697092,0.15
57,50282.32291697092,0.15
58,59517.95426722779,0.15
59,58903.95426722779,0.15
60,58364.45426722779,0.15
61,57959.45426722779,0.15
62,57566.95426722779,0.15
63,57186.95426722779,0.15
64,56806.95426722779,0.15
65,57235.26412377991,0.15
66,57656.78770389283,0.15
67,57264.28770389283,0.15
68,56884.28770389283,0.15
69,56363.28770389283,0.15
70,55807.78770389283,0.15
71,55402.78770389284,0.15
72,55572.892817324806,0.15
73,55192.892817324806,0.15
74,54688.892817324806,0.15
75,54296.392817324806,0.15
76,54579.03699848294,0.15
77,55979.85062144121,0.15
78,55587.35062144121,0.15
79,54922.85062144121,0.15
80,54530.35062144121,0.15
81,54959.08849108832,0.15
82,54579.08849108832,0.15
83,54199.08849108832,0.15
84,54547.06921455734,0.15
85,55019.49902385699,0.15
86,54413.49902385699,0.15
87,53775.99902385699,0.15
88,53370.99902385699,0.15
89,52697.99902385699,0.15
90,52845.65852819682,0.15
91,51987.658528196815,0.15
92,52097.367509619275,0.15
93,52254.21087373326,0.15
94,51651.71087373326,0.15
95,54205.36443699416,0.15
96,53612.86443699416,0.15
97,54122.508873215964,0.15
98,64720.094400614544,0.15
99,64870.456307613225,0.15
100,65294.83584648072,0.15
101,64288.33584648071,0.15
102,71212.31051658171,0.15
103,70714.81051658171,0.15
104,70214.81051658173,0.15
105,82747.7625450335,0.15
106,82641.95656133688,0.15
107,84194.87451269578,0.15
108,83302.37451269578,0.15
109,82704.87451269578,0.15
110,82119.87451269578,0.15
111,81547.37451269578,0.15
112,80974.87451269578,0.15
113,81979.71142241219,0.15
114,82033.5399496507,0.15
115,82080.82947634737,0.15
116,81300.82947634737,0.15
117,80611.32947634737,0.15
118,80026.32947634737,0.15
119,79441.32947634737,0.15
120,78601.32947634737,0.15
121,78279.79030525505,0.15
122,77227.29030525505,0.15
123,76418.29030525505,0.15
124,77062.68701197997,0.15
125,78007.0747731224,0.15
126,78046.93886884408,0.15
127,80675.8175069611,0.15
128,79874.3175069611,0.15
129,80232.80504740709,0.15
130,79925.01477712199,0.15
131,80568.34577841513,0.15
