time_step,energy,service_type
1,2774.337069966402,A
1,3469.071019999309,B
1,2938.924198146759,C
2,2707.459887782998,A
2,3449.071019999309,B
2,2918.924198146759,C
3,2681.209887782998,A
3,3429.071019999309,B
3,2898.924198146759,C
4,2654.959887782998,A
4,3409.071019999309,B
4,2878.924198146759,C
5,2628.709887782998,A
5,3389.071019999309,B
5,2858.924198146759,C
6,2608.709887782998,A
6,3369.071019999309,B
6,2838.924198146759,C
7,2588.709887782998,A
7,3349.071019999309,B
7,2818.924198146759,C
8,3024.076691463972,A
8,3329.071019999309,B
8,2798.924198146759,C
9,3004.076691463972,A
9,3309.071019999309,B
9,2778.924198146759,C
10,2984.076691463972,A
10,3289.071019999309,B
10,2758.924198146759,C
11,2964.076691463972,A
11,3269.071019999309,B
11,2738.924198146759,C
12,2944.076691463972,A
12,3229.477672584926,B
12,2718.924198146759,C
13,2924.076691463972,A
13,3206.352672584926,B
13,2698.924198146759,C
14,2904.076691463972,A
14,3186.352672584926,B
14,2678.924198146759,C
15,2884.076691463972,A
15,3141.8964533918997,B
15,2658.924198146759,C
16,2864.076691463972,A
16,3289.633178098675,B
16,2638.924198146759,C
17,2844.076691463972,A
17,3269.633178098675,B
17,2618.924198146759,C
18,2824.076691463972,A
18,3249.633178098675,B
18,2598.924198146759,C
19,2804.076691463972,A
19,3433.634854460068,B
19,2578.924198146759,C
20,2784.076691463972,A
20,3413.634854460068,B
20,2558.924198146759,C
21,2764.076691463972,A
21,3393.634854460068,B
21,2538.924198146759,C
22,2744.076691463972,A
22,3373.634854460068,B
22,2518.924198146759,C
23,2724.076691463972,A
23,3353.634854460068,B
23,2498.924198146759,C
24,2672.264571026677,A
24,3333.634854460068,B
24,2478.924198146759,C
25,2652.264571026677,A
25,3313.634854460068,B
25,2458.924198146759,C
26,2632.264571026677,A
26,3293.634854460068,B
26,2438.924198146759,C
27,2958.438220019597,A
27,3273.634854460068,B
27,2418.924198146759,C
28,2938.438220019597,A
28,3253.634854460068,B
28,2398.924198146759,C
29,2882.841239254376,A
29,3233.634854460068,B
29,2378.924198146759,C
30,2856.591239254376,A
30,3213.634854460068,B
30,2358.924198146759,C
31,2830.341239254376,A
31,3193.634854460068,B
31,2338.924198146759,C
32,2810.341239254376,A
32,3173.634854460068,B
32,2318.924198146759,C
33,2790.341239254376,A
33,3153.634854460068,B
33,2298.924198146759,C
34,3157.5605545300714,A
34,3133.634854460068,B
34,2278.924198146759,C
35,3137.5605545300714,A
35,3113.634854460068,B
35,2258.924198146759,C
36,3117.5605545300714,A
36,3072.607072607496,B
36,2238.924198146759,C
37,3097.5605545300714,A
37,3027.2854630593224,B
37,2218.924198146759,C
38,3077.5605545300714,A
38,3004.1604630593224,B
38,2183.1078612597066,C
39,3057.5605545300714,A
39,2984.1604630593224,B
39,2159.9828612597066,C
40,3037.5605545300714,A
40,3143.06213266114,B
40,2136.8578612597066,C
41,3017.5605545300714,A
41,3308.8785657668395,B
41,2092.747781124337,C
42,2997.5605545300714,A
42,3288.8785657668395,B
42,2069.622781124337,C
43,2977.5605545300714,A
43,3268.8785657668395,B
43,2223.8841336118776,C
44,2957.5605545300714,A
44,3248.8785657668395,B
44,2203.8841336118776,C
45,2937.5605545300714,A
45,3228.8785657668395,B
45,2391.784527897661,C
46,2886.3005669254217,A
46,3208.8785657668395,B
46,2347.4570622797255,C
47,2822.2686783419126,A
47,3188.8785657668395,B
47,2324.3320622797255,C
48,2802.2686783419126,A
48,3168.8785657668395,B
48,2301.2070622797255,C
49,2782.2686783419126,A
49,3148.8785657668395,B
49,2260.808085363297,C
50,3613.738319961434,A
50,3128.8785657668395,B
50,2240.808085363297,C
51,3593.738319961434,A
51,3108.8785657668395,B
51,2429.953447035225,C
52,3525.249641197641,A
52,3088.8785657668395,B
52,2538.3344220816894,C
53,3505.249641197641,A
53,3068.8785657668395,B
53,2518.3344220816894,C
54,3485.249641197641,A
54,3048.8785657668395,B
54,2498.3344220816894,C
55,3933.644474286647,A
55,3028.8785657668395,B
55,2478.3344220816894,C
56,2602.429649524431,A
56,2992.6725084294562,B
56,2458.3344220816894,C
57,2582.429649524431,A
57,2969.5475084294562,B
57,2438.3344220816894,C
58,2562.429649524431,A
58,2946.4225084294562,B
58,2418.3344220816894,C
59,2542.429649524431,A
59,2926.4225084294562,B
59,2398.3344220816894,C
60,2522.429649524431,A
60,2906.4225084294562,B
60,2378.3344220816894,C
61,2502.429649524431,A
61,3014.194070379741,B
61,2358.3344220816894,C
62,2482.429649524431,A
62,2994.194070379741,B
62,2338.3344220816894,C
63,2462.429649524431,A
63,2955.4231187144337,B
63,2318.3344220816894,C
64,2442.429649524431,A
64,2932.2981187144337,B
64,2298.3344220816894,C
65,2422.429649524431,A
65,2897.3240080557034,B
65,2278.3344220816894,C
66,2383.934953472488,A
66,2874.1990080557034,B
66,2258.3344220816894,C
67,2359.7682868058214,A
67,3055.173497520197,B
67,2238.3344220816894,C
68,2335.6016201391544,A
68,3035.173497520197,B
68,2218.3344220816894,C
69,2315.6016201391544,A
69,3015.173497520197,B
69,2175.3668211821077,C
70,2295.6016201391544,A
70,3188.752660753433,B
70,2152.2418211821077,C
71,2515.553834417429,A
71,3168.752660753433,B
71,2129.1168211821077,C
72,2465.492548274109,A
72,3148.752660753433,B
72,2109.1168211821077,C
73,2445.492548274109,A
73,3128.752660753433,B
73,2089.1168211821077,C
74,2425.492548274109,A
74,3089.517425303347,B
74,2272.899075125206,C
75,2711.740569557023,A
75,3066.392425303347,B
75,2252.899075125206,C
76,2691.740569557023,A
76,3043.267425303347,B
76,2232.899075125206,C
77,2671.740569557023,A
77,2998.5961142628307,B
77,2212.899075125206,C
78,2621.6677757362413,A
78,2975.4711142628307,B
78,2171.682357514681,C
79,2597.501109069575,A
79,3183.0045131417596,B
79,2148.557357514681,C
80,2573.334442402908,A
80,3146.080295402252,B
80,2125.432357514681,C
81,2549.1677757362413,A
81,3249.7183287694215,B
81,2105.432357514681,C
