time_step,eq_times_productivity,tax_rate
1,27540.269205077766,0.25
2,27340.269205077766,0.25
3,26693.866522268407,0.25
4,26387.199855601742,0.25
5,27342.356391004927,0.25
6,26930.825216426507,0.25
7,26708.602994204284,0.25
8,26486.38077198206,0.25
9,26799.22161639342,0.25
10,26599.22161639342,0.25
11,27661.772006271953,0.25
12,27323.828742672133,0.25
13,27112.71763156102,0.25
14,27387.95114079957,0.25
15,27162.95114079957,0.25
16,26937.951140799567,0.25
17,26998.636013648378,0.25
18,31016.29076681728,0.25
19,37100.52289657062,0.25
20,36815.52289657062,0.25
21,37920.1689785668,0.25
22,37635.1689785668,0.25
23,37104.43981190013,0.25
24,36796.52314523346,0.25
25,36488.6064785668,0.25
26,35961.93981190013,0.25
27,35656.1064785668,0.25
28,36702.010629837925,0.25
29,36417.010629837925,0.25
30,37577.05829618244,0.25
31,38366.13262738019,0.25
32,38081.13262738019,0.25
33,37796.13262738019,0.25
34,37511.13262738019,0.25
35,37226.13262738019,0.25
36,36941.13262738019,0.25
37,36681.13262738019,0.25
38,37969.79656731358,0.25
39,37709.796567313584,0.25
40,37449.796567313584,0.25
41,37822.25520760258,0.25
42,37562.25520760259,0.25
43,37193.60677010258,0.25
44,36579.02649640042,0.25
45,36291.37235681839,0.25
46,35492.45569015173,0.25
47,34863.856695350994,0.25
48,34557.217112381026,0.25
49,34272.21711238102,0.25
50,34865.78824092013,0.25
51,35386.39151126101,0.25
52,35653.40570259461,0.25
53,36609.12892474043,0.25
54,36275.6684057876,0.25
55,36009.4184057876,0.25
56,35743.1684057876,0.25
57,35483.1684057876,0.25
58,35223.1684057876,0.25
59,34963.1684057876,0.25
60,34805.06561182513,0.25
61,39187.27060567147,0.25
62,43782.36191122454,0.25
63,43399.32166009127,0.25
64,43072.65499342461,0.25
65,42745.988326757935,0.25
66,42425.988326757935,0.25
67,42105.98832675794,0.25
68,41785.98832675794,0.25
69,41542.361911224536,0.25
70,40790.19334335831,0.25
71,41053.102426889665,0.25
72,40428.124373991246,0.25
73,40084.79104065792,0.25
74,39466.248636491924,0.25
75,39685.042937826904,0.25
76,39338.37627116024,0.25
77,39547.84925833887,0.25
78,39227.84925833887,0.25
79,38223.179372674684,0.25
80,38993.20450325289,0.25
81,39809.70972266265,0.25
82,39431.33437129082,0.25
83,39104.66770462415,0.25
84,39455.61575668255,0.25
85,40108.752737519375,0.25
86,39312.6564184258,0.25
87,39221.82659307439,0.25
88,38878.49325974106,0.25
89,38499.42374535107,0.25
90,37676.090412017744,0.25
91,38830.501146920884,0.25
92,38338.69511835941,0.25
93,37973.7748449722,0.25
94,38803.9391806335,0.25
95,38453.93918063349,0.25
96,38468.57654835752,0.25
97,38755.63597790393,0.25
98,39837.44498685654,0.25
99,42644.2782649126,0.25
100,47020.08750203217,0.25
101,49328.146551072496,0.25
102,48943.97988440583,0.25
103,49648.415556009146,0.25
104,50132.96489381297,0.25
105,51281.14219412323,0.25
106,50442.97035123204,0.25
107,50004.63701789871,0.25
108,49566.30368456537,0.25
109,48934.003847883374,0.25
110,48529.00384788337,0.25
111,49742.152804180056,0.25
112,49586.65741049656,0.25
113,49702.86196328675,0.25
114,48846.00634593597,0.25
115,48139.79610332321,0.25
116,47484.12899847614,0.25
117,47470.85059306706,0.25
118,48265.26980331195,0.25
119,47391.60313664529,0.25
120,47337.80189529445,0.25
121,49418.98660665244,0.25
122,51071.27492423794,0.25
123,51115.37040615936,0.25
124,50696.48151727047,0.25
125,50919.27205261053,0.25
126,51698.20752370923,0.25
127,52974.07803468596,0.25
128,52403.27567707061,0.25
129,51971.412976988744,0.25
130,51556.2753039762,0.25
131,51991.526206358096,0.25
132,51587.46351026213,0.25
133,51478.351399411986,0.25
134,51068.788652234856,0.25
135,50838.76400750877,0.25
136,50511.546394864905,0.25
137,50034.33334529766,0.25
138,49612.7928301687,0.25
139,50293.29885879335,0.25
140,49667.1206117673,0.25
141,50600.82844569326,0.25
142,50536.23723922294,0.25
143,50820.12298219171,0.25
144,50419.28964885838,0.25
145,50304.63875849919,0.25
146,50871.42821221488,0.25
147,53688.530497983025,0.25
148,53204.22400599488,0.25
149,53700.44752490351,0.25
150,52819.87448328411,0.25
151,54786.323019835036,0.25
152,57847.41396216515,0.25
153,64779.32894600534,0.25
154,68009.81288297103,0.25
155,74110.7148793859,0.25
156,73399.71636274172,0.25
157,73819.58434310083,0.25
158,75111.70454036542,0.25
159,74024.42124600144,0.25
160,79508.66532801576,0.25
161,93505.76786299405,0.25
162,97545.34926426433,0.25
163,96752.51413372307,0.25
164,97413.84534462102,0.25
165,97890.37592238843,0.25
166,100606.63793467285,0.25
167,101641.04439700051,0.25
168,101147.54167722075,0.25
169,100006.8175928701,0.25
170,99651.62116274846,0.25
171,101913.69569091221,0.25
172,102406.8017695116,0.25
173,105796.22518394572,0.25
174,112583.3074568414,0.25
175,114857.65592455708,0.25
176,116603.32298113556,0.25
177,119762.38267958953,0.25
178,125280.05165697332,0.25
179,124273.07922664801,0.25
180,124978.36921558625,0.25
181,127826.88538515994,0.25
182,130618.12562672785,0.25
183,133459.62349578235,0.25
184,132404.11544634262,0.25
185,132081.1675146657,0.25
186,131367.0844991935,0.25
187,133744.74721074436,0.25
188,138851.21918475564,0.25
189,138255.72357694214,0.25
190,137756.57489005575,0.25
191,141195.76062645455,0.25
192,141345.60115364374,0.25
193,141129.77635495405,0.25
194,144638.09437759165,0.25
195,142962.1843522979,0.25
196,141738.39967839277,0.25
197,140646.357248368,0.25
198,139460.80666266414,0.25
199,139115.4038859134,0.25
200,141058.57513798663,0.25
201,143060.61246123211,0.25
202,142677.6913932918,0.25
203,143330.89383884313,0.25
204,143280.0379115175,0.25
205,141950.99237196805,0.25
206,142147.99309391427,0.25
207,141049.27536646376,0.25
208,140062.74638776097,0.25
209,138595.32533053713,0.25
210,138725.3000706195,0.25
211,144528.74123208533,0.25
212,149986.9122620916,0.25
213,148890.87380055318,0.25
214,148909.58772894333,0.25
215,148297.2174398289,0.25
216,148032.76242855535,0.25
217,147805.78537688934,0.25
218,149388.57782937333,0.25
219,148834.2473788398,0.25
220,148363.50701554387,0.25
221,150593.32432415007,0.25
222,150422.54537659293,0.25
223,152404.34106298978,0.25
224,151110.1665461954,0.25
225,149945.57604197052,0.25
226,148650.53726907502,0.25
227,147431.58141825726,0.25
228,148470.37763528197,0.25
229,150038.7084354085,0.25
230,155809.80408695046,0.25
231,161002.19031313673,0.25
232,164439.32141944056,0.25
233,162943.26198363295,0.25
234,162441.17644604892,0.25
235,162218.1146712943,0.25
236,162005.3387812368,0.25
237,161202.29809088874,0.25
238,159950.70505145908,0.25
