time_step,productivity,tax_rate
1,31180.655012517076,0.25
2,30980.655012517076,0.25
3,30780.655012517076,0.25
4,30420.655012517076,0.25
5,30208.155012517076,0.25
6,29864.155012517076,0.25
7,29651.655012517076,0.25
8,29439.155012517076,0.25
9,30076.97207317314,0.25
10,29876.97207317314,0.25
11,29982.12909002268,0.25
12,29587.62909002268,0.25
13,29362.62909002268,0.25
14,29763.119435737586,0.25
15,29550.619435737586,0.25
16,29338.119435737586,0.25
17,42711.73196817169,0.25
18,57103.08091580564,0.25
19,56798.080915805636,0.25
20,56465.580915805636,0.25
21,56133.080915805636,0.25
22,55800.580915805636,0.25
23,56057.52552032967,0.25
24,55712.52552032967,0.25
25,55367.52552032967,0.25
26,54890.02552032967,0.25
27,54545.02552032967,0.25
28,54813.26103395478,0.25
29,54468.26103395478,0.25
30,54123.26103395478,0.25
31,53778.26103395478,0.25
32,54365.82931222372,0.25
33,53784.32931222372,0.25
34,53956.48818243127,0.25
35,53623.98818243127,0.25
36,53291.48818243127,0.25
37,53752.55860902314,0.25
38,54213.83411651928,0.25
39,53893.83411651928,0.25
40,53573.83411651928,0.25
41,53253.83411651928,0.25
42,52933.83411651928,0.25
43,52613.83411651928,0.25
44,52057.83411651928,0.25
45,51725.33411651928,0.25
46,51134.83411651928,0.25
47,50552.83411651928,0.25
48,50220.33411651928,0.25
49,50858.39592570991,0.25
50,51316.29833397435,0.25
51,50983.79833397435,0.25
52,51155.79508296162,0.25
53,50835.79508296162,0.25
54,50515.79508296162,0.25
55,50195.79508296162,0.25
56,59431.42643321848,0.25
57,59091.42643321848,0.25
58,58711.42643321848,0.25
59,58331.42643321848,0.25
60,57951.42643321848,0.25
61,57571.426433218476,0.25
62,57191.426433218476,0.25
63,56811.426433218476,0.25
64,56431.426433218476,0.25
65,56051.426433218476,0.25
66,55671.426433218476,0.25
67,55291.426433218476,0.25
68,54911.426433218476,0.25
69,54531.426433218476,0.25
70,53651.426433218476,0.25
71,53233.926433218476,0.25
72,52599.926433218476,0.25
73,52219.926433218476,0.25
74,52437.315615038315,0.25
75,53505.2850312014,0.25
76,54268.74778498312,0.25
