time_step,productivity,tax_rate
1,31180.655012517076,0.0
2,30980.655012517076,0.0
3,30542.655012517076,0.0
4,30182.655012517076,0.0
5,30636.530268900744,0.0
6,30292.530268900744,0.0
7,30080.030268900744,0.0
8,29867.530268900744,0.0
9,30505.347329556807,0.0
10,30305.347329556807,0.0
11,30410.504346406346,0.0
12,30016.004346406346,0.0
13,29791.004346406346,0.0
14,30489.494692121254,0.0
15,29991.494692121254,0.0
16,29778.994692121254,0.0
17,43152.607224555366,0.0
18,57556.45617218932,0.0
19,57263.95617218932,0.0
20,56943.95617218931,0.0
21,57315.66320877176,0.0
22,56995.66320877176,0.0
23,57411.10781329579,0.0
24,56945.10781329579,0.0
25,56612.60781329579,0.0
26,56135.10781329579,0.0
27,55802.60781329579,0.0
28,55186.10781329579,0.0
29,55750.843326920905,0.0
30,55418.343326920905,0.0
31,55085.843326920905,0.0
32,55685.91160518983,0.0
33,55365.91160518983,0.0
34,55550.570475397384,0.0
35,55093.570475397384,0.0
36,54761.070475397384,0.0
37,54428.570475397384,0.0
38,54096.070475397384,0.0
39,53763.570475397384,0.0
40,53431.070475397384,0.0
41,53098.570475397384,0.0
42,52766.070475397384,0.0
43,52433.570475397384,0.0
44,51865.070475397384,0.0
45,51520.070475397384,0.0
46,50917.070475397384,0.0
47,50584.570475397384,0.0
48,50252.070475397384,0.0
49,50877.63228458802,0.0
50,51335.53469285245,0.0
51,51960.44665259229,0.0
52,51627.94665259229,0.0
53,51307.94665259229,0.0
54,50987.94665259229,0.0
55,50667.94665259229,0.0
56,59903.578002849164,0.0
57,59563.578002849164,0.0
58,59183.57800284916,0.0
59,58803.57800284916,0.0
60,58423.57800284916,0.0
61,58043.57800284916,0.0
62,57663.57800284916,0.0
63,57283.57800284916,0.0
64,56903.57800284916,0.0
65,56523.57800284916,0.0
66,56143.57800284916,0.0
67,55763.57800284916,0.0
68,55242.57800284916,0.0
69,54850.07800284916,0.0
70,54061.57800284916,0.0
71,53540.07800284916,0.0
72,52906.07800284916,0.0
73,52501.07800284916,0.0
74,52980.467184668996,0.0
75,53488.32311769969,0.0
76,53893.648352704644,0.0
77,55149.2552876445,0.0
78,54769.2552876445,0.0
79,55835.86222258435,0.0
80,55305.86222258435,0.0
81,54709.86222258435,0.0
82,54304.86222258435,0.0
83,53912.36222258435,0.0
84,54994.00480887718,0.0
85,54356.50480887718,0.0
86,55125.03855436261,0.0
87,54486.53855436262,0.0
88,54061.53855436262,0.0
89,54189.19805870245,0.0
90,54455.54142281644,0.0
91,54820.89029405986,0.0
92,54262.89029405986,0.0
93,53405.89029405986,0.0
94,53881.09927548232,0.0
95,53289.09927548232,0.0
96,53883.49539285638,0.0
97,54463.02351882292,0.0
98,68757.90858708203,0.0
99,68337.90858708203,0.0
100,67358.90858708203,0.0
101,69137.54505518964,0.0
102,70162.56632328844,0.0
103,69267.56632328844,0.0
104,69508.60539129803,0.0
105,69023.60539129803,0.0
106,70102.29954220835,0.0
107,70312.73307201272,0.0
108,69765.23307201272,0.0
109,69280.23307201272,0.0
110,68614.23307201272,0.0
111,68942.70314651068,0.0
112,72156.341091528,0.0
113,71344.841091528,0.0
114,70839.841091528,0.0
115,71153.54550773505,0.0
116,70661.04550773505,0.0
117,71845.66752267868,0.0
118,70846.66752267868,0.0
119,70163.16752267868,0.0
120,69950.92773122946,0.0
121,69794.60136316801,0.0
122,69922.2793430263,0.0
123,75067.34007389056,0.0
124,74517.34007389056,0.0
125,74233.1593559431,0.0
126,75850.29808515654,0.0
127,75902.45734970142,0.0
128,75157.95734970142,0.0
129,77096.92149223399,0.0
130,76964.07921696249,0.0
131,81660.21832952976,0.0
132,83751.15077075813,0.0
133,82709.15077075813,0.0
134,83051.38044262887,0.0
135,83093.95662731721,0.0
136,81860.45662731721,0.0
137,81182.45662731721,0.0
138,81480.81192052772,0.0
139,95512.0835740956,0.0
140,95667.24110098096,0.0
141,97772.29232626724,0.0
142,98378.75078110701,0.0
143,97786.25078110701,0.0
144,97090.25078110701,0.0
145,96497.75078110701,0.0
146,98866.56629804576,0.0
147,98286.56629804576,0.0
148,97499.56629804576,0.0
149,97416.10401802613,0.0
150,96552.10401802613,0.0
151,95509.60401802613,0.0
152,95805.15471707725,0.0
153,95484.06267009205,0.0
154,94809.06267009205,0.0
155,95011.9849368669,0.0
156,95911.36451493682,0.0
157,94795.86451493682,0.0
158,95900.79628539643,0.0
159,109551.97391504665,0.0
160,109422.77900236865,0.0
161,108216.27900236864,0.0
162,107372.27900236864,0.0
163,109174.01430305038,0.0
164,108912.59780111027,0.0
165,107925.09780111027,0.0
166,108426.14318902628,0.0
167,107815.05876450863,0.0
168,106423.05876450863,0.0
169,106209.4565846581,0.0
170,107488.43174323815,0.0
171,109027.74283586125,0.0
172,109358.80727346233,0.0
173,109380.3465932434,0.0
174,109689.99935877004,0.0
175,109375.27524600172,0.0
176,109699.75797907391,0.0
177,123214.72253848756,0.0
178,123960.14482406057,0.0
179,141897.623126531,0.0
180,151675.07909728677,0.0
181,151202.04745162703,0.0
182,153267.5823766936,0.0
183,154723.38170401927,0.0
184,155100.02162325228,0.0
185,156734.3643689642,0.0
186,160048.04729235877,0.0
187,163689.80887607453,0.0
188,163743.81717504622,0.0
189,164661.52543697113,0.0
190,162956.02543697113,0.0
191,161913.52543697113,0.0
192,160921.02543697113,0.0
193,159941.02543697113,0.0
194,164981.94659995055,0.0
195,164537.7709614434,0.0
196,162950.37249006706,0.0
197,161822.87249006706,0.0
198,160515.37249006706,0.0
199,159571.1580830274,0.0
200,170361.37269649399,0.0
201,173464.8091363217,0.0
202,173866.969419957,0.0
203,173203.98089439486,0.0
204,186957.17691067833,0.0
205,190110.17058636033,0.0
206,188065.1705863603,0.0
207,187827.16254166656,0.0
208,189579.24861268033,0.0
209,188134.24861268033,0.0
210,188715.1507589885,0.0
211,190034.64550224217,0.0
212,189604.60849020738,0.0
213,190549.25478060267,0.0
214,189055.75478060267,0.0
215,188289.86224593237,0.0
216,189005.8333783367,0.0
217,187506.8333783367,0.0
218,187697.05321832318,0.0
219,186030.05321832318,0.0
220,190636.76777774206,0.0
221,192182.46625847477,0.0
222,190624.96625847477,0.0
223,190784.61152400015,0.0
224,189514.61152400015,0.0
225,201089.89006927164,0.0
226,200204.00384742505,0.0
227,199319.13909434143,0.0
228,199925.013644737,0.0
229,199865.256255528,0.0
230,198875.41330929426,0.0
231,199202.14749949644,0.0
232,197634.14749949644,0.0
233,197908.16890655534,0.0
234,198175.0199646102,0.0
235,197296.11366515246,0.0
236,198724.53030514417,0.0
237,198775.71905965637,0.0
238,198356.81475596252,0.0
239,197878.1533484755,0.0
240,198404.6865781248,0.0
241,212240.5874686502,0.0
242,210458.0874686502,0.0
243,210567.18555955996,0.0
244,210288.41736539511,0.0
245,209740.56607275736,0.0
246,208455.1172832318,0.0
247,211146.1265655855,0.0
248,209275.6265655855,0.0
249,208163.8710105976,0.0
250,209777.58750955889,0.0
251,211334.18847590056,0.0
252,210174.71653949234,0.0
253,212616.68111603882,0.0
254,211180.10859228467,0.0
255,210810.08265246125,0.0
256,222562.93313709603,0.0
257,222426.31105051804,0.0
258,221938.83798345865,0.0
259,221368.72132436754,0.0
260,221897.0696558593,0.0
261,222478.11573911755,0.0
262,222995.6140523447,0.0
263,220955.6140523447,0.0
264,237977.57998076716,0.0
265,250583.4339857812,0.0
266,250041.4166101119,0.0
267,248621.28181724087,0.0
268,246572.28181724087,0.0
269,247614.11063215858,0.0
270,246694.24140589358,0.0
271,244098.74140589358,0.0
272,243773.86715753278,0.0
273,243291.8333551808,0.0
274,243311.14586128935,0.0
275,243567.39457238064,0.0
276,257341.55203989887,0.0
277,257997.8855899442,0.0
278,255837.3855899442,0.0
279,255739.33206396838,0.0
280,254751.90781925217,0.0
281,252501.40781925217,0.0
282,264406.3360563628,0.0
283,265468.7129531674,0.0
284,266151.34655189945,0.0
285,264027.59033921995,0.0
286,276482.24396360666,0.0
287,277179.2200140625,0.0
288,276768.8982735122,0.0
289,278058.3741833861,0.0
290,277325.063443835,0.0
291,289180.3034255988,0.0
292,289288.3876328617,0.0
293,288950.8512110528,0.0
294,287058.3512110528,0.0
295,285894.8905866965,0.0
296,283748.8905866965,0.0
297,292594.81464068353,0.0
298,291621.7827048537,0.0
299,290306.21965140547,0.0
300,287728.71965140547,0.0
301,286279.6321554448,0.0
302,284531.12771679077,0.0
303,285201.7301280376,0.0
304,284350.8097575769,0.0
305,282430.3331108008,0.0
306,280740.95838707883,0.0
307,279388.42783839,0.0
308,278181.1535544173,0.0
309,278258.3938239739,0.0
310,286725.3498584896,0.0
311,285259.29907957796,0.0
312,284903.75322879996,0.0
313,284272.12857721315,0.0
314,285256.6267899952,0.0
315,306397.5549405794,0.0
316,303950.56997728685,0.0
317,301493.543659867,0.0
318,300740.007195746,0.0
319,300648.81983939896,0.0
320,307564.44006573746,0.0
321,309577.60929581063,0.0
322,309568.10314530454,0.0
323,309212.32798242,0.0
324,307023.18980792916,0.0
325,304483.7776384874,0.0
326,304501.18487007514,0.0
327,303128.9123585881,0.0
328,303544.51566537283,0.0
329,315749.97979010426,0.0
330,315375.09204668266,0.0
331,312461.5920466826,0.0
332,317665.1549094884,0.0
333,316960.9623195389,0.0
334,315251.9775263306,0.0
335,316407.4785714455,0.0
336,315280.4861888486,0.0
337,313094.9361628454,0.0
338,311935.03509579296,0.0
339,309617.53509579296,0.0
340,307892.1344559054,0.0
341,306044.62449975935,0.0
342,303981.5482737306,0.0
343,302696.8098553887,0.0
344,303152.74081342615,0.0
345,302008.19208956097,0.0
346,301657.55727043195,0.0
347,315218.9650849967,0.0
348,314384.14303399203,0.0
349,323413.2426878612,0.0
350,320779.7426878613,0.0
351,318698.20388335234,0.0
352,316910.9807670817,0.0
353,315247.1028420611,0.0
354,313153.5072699764,0.0
355,312175.9323477384,0.0
356,311374.9992296322,0.0
357,309002.4992296322,0.0
358,307379.60997318756,0.0
359,304772.60997318756,0.0
360,303068.59625876485,0.0
361,305111.7495404646,0.0
362,303103.48144404683,0.0
363,300982.81770722894,0.0
364,300208.9430973418,0.0
365,298116.0980112733,0.0
