time_step,Service Performance,tax_rate
1,27054.88443075252,0.15
2,26854.88443075252,0.15
3,26520.859265624924,0.15
4,26301.41482118048,0.15
5,26081.970376736033,0.15
6,25862.52593229159,0.15
7,25643.081487847146,0.15
8,25423.6370434027,0.15
9,25204.192598958256,0.15
10,24845.41768401154,0.15
11,25245.092453517045,0.15
12,25025.6480090726,0.15
13,24806.20356462816,0.15
14,25604.6605568611,0.15
15,25382.438334638882,0.15
16,25160.21611241666,0.15
17,24937.993890194437,0.15
18,24715.77166797221,0.15
19,24515.771667972214,0.15
20,25452.96249400281,0.15
21,25831.27655890568,0.15
22,25631.276558905676,0.15
23,25431.276558905676,0.15
24,25231.276558905676,0.15
25,25031.276558905676,0.15
26,24831.276558905676,0.15
27,24631.276558905676,0.15
28,24431.27655890568,0.15
29,24231.276558905676,0.15
30,24031.27655890568,0.15
31,24322.84351407311,0.15
32,24122.84351407311,0.15
33,23922.84351407311,0.15
34,23722.84351407311,0.15
35,23522.843514073113,0.15
36,23209.16053975056,0.15
37,22910.79481691261,0.15
38,22683.557619484498,0.15
39,22478.002063928943,0.15
40,22836.590479079066,0.15
41,23422.697017908267,0.15
42,23203.252573463826,0.15
43,23256.847673666034,0.15
44,23056.847673666034,0.15
45,23762.91661488158,0.15
46,23414.68340628802,0.15
47,23189.68340628802,0.15
48,22981.350072954687,0.15
49,22773.016739621355,0.15
50,23277.69047961799,0.15
51,23530.833647413976,0.15
52,23319.722536302867,0.15
53,23108.715002541983,0.15
54,22895.40204194789,0.15
55,22681.513153059,0.15
56,22381.19195837073,0.15
57,22150.636402815177,0.15
58,21920.08084725962,0.15
59,21706.19195837073,0.15
60,21492.303069481844,0.15
61,22195.010196587602,0.15
62,21892.912788747864,0.15
63,21656.801677636755,0.15
64,21429.023899858978,0.15
65,21212.35723319231,0.15
66,21130.73695576769,0.15
67,21358.58499961435,0.15
68,21813.36702067005,0.15
69,21613.36702067005,0.15
70,21413.36702067005,0.15
71,21772.548785543244,0.15
72,21572.54878554324,0.15
73,21372.54878554324,0.15
74,21172.548785543244,0.15
75,20918.666752869314,0.15
76,20710.30387790256,0.15
77,20420.252737301114,0.15
78,20203.586070634447,0.15
79,20298.603032906845,0.15
80,20068.515534703278,0.15
81,21212.83184408125,0.15
82,21001.72073297014,0.15
83,20801.72073297014,0.15
84,20601.72073297014,0.15
85,20683.041728868273,0.15
86,20468.16332525619,0.15
87,20186.65822525949,0.15
88,19967.213780815044,0.15
89,19747.7693363706,0.15
90,19544.99155859282,0.15
91,19950.219865918683,0.15
92,20374.051112099936,0.15
93,20146.27333432216,0.15
94,19918.49555654438,0.15
95,19712.940000988823,0.15
96,19512.940000988827,0.15
97,20704.16155398111,0.15
98,20438.907534182574,0.15
99,20227.796423071464,0.15
100,20016.68531196035,0.15
101,20630.255118605175,0.15
102,20386.49388291047,0.15
103,20186.49388291047,0.15
104,20399.246885348795,0.15
105,20458.49499789918,0.15
106,20258.49499789918,0.15
107,20058.49499789918,0.15
108,19939.515196289478,0.15
109,19739.515196289478,0.15
110,19493.088280069762,0.15
111,20236.881439023196,0.15
112,20015.64287461162,0.15
113,19812.865096833844,0.15
114,19610.087319056067,0.15
115,19728.932726558956,0.15
116,19466.256147955664,0.15
117,19446.72237396207,0.15
118,19232.83348507318,0.15
119,19032.83348507318,0.15
120,18779.74516001627,0.15
121,19930.679401524965,0.15
122,19705.679401524965,0.15
123,19468.4373261506,0.15
124,19876.778542990927,0.15
125,19468.133799953557,0.15
126,20340.568933548784,0.15
127,20001.66291334425,0.15
128,19746.107357788693,0.15
129,19532.218468899806,0.15
130,19318.329580010915,0.15
131,21758.512511193603,0.15
132,21418.72151337511,0.15
133,21179.832624486222,0.15
134,20954.832624486222,0.15
135,20679.29056555987,0.15
136,21823.119157087873,0.15
137,21843.398247681293,0.15
138,21612.842692125738,0.15
139,21387.842692125738,0.15
140,21162.842692125738,0.15
