time_step,productivity,tax_rate
1,31180.655012517076,0.15
2,30980.655012517076,0.15
3,30542.655012517076,0.15
4,30182.655012517076,0.15
5,30636.530268900744,0.15
6,30436.530268900744,0.15
7,30236.530268900744,0.15
8,30036.530268900744,0.15
9,30674.347329556807,0.15
10,30474.347329556807,0.15
11,29858.347329556807,0.15
12,29463.847329556807,0.15
13,29238.847329556807,0.15
14,29937.337675271716,0.15
15,29439.337675271716,0.15
16,29226.837675271712,0.15
17,42600.45020770581,0.15
18,56991.79915533978,0.15
19,56686.79915533976,0.15
20,56354.29915533977,0.15
21,56021.79915533977,0.15
22,55689.29915533977,0.15
23,56092.243759863806,0.15
24,55759.743759863806,0.15
25,55427.243759863806,0.15
26,54949.743759863806,0.15
27,54604.743759863806,0.15
28,54259.743759863806,0.15
29,53927.243759863806,0.15
30,53594.743759863806,0.15
31,53262.243759863806,0.15
32,53849.81203813273,0.15
33,53268.31203813273,0.15
34,52935.81203813273,0.15
35,52603.31203813273,0.15
36,52270.81203813273,0.15
37,52719.3824647246,0.15
38,52399.3824647246,0.15
39,52721.65797222075,0.15
40,52401.65797222075,0.15
41,52862.93347971691,0.15
42,52542.93347971691,0.15
43,51995.93347971691,0.15
44,51663.43347971691,0.15
45,51330.93347971691,0.15
46,51010.93347971691,0.15
47,50428.93347971691,0.15
48,50096.43347971691,0.15
49,50540.10126526657,0.15
50,50070.10126526657,0.15
51,49750.10126526657,0.15
52,49934.598014253825,0.15
53,49614.598014253825,0.15
54,58850.2293645107,0.15
55,58510.2293645107,0.15
56,58130.229364510706,0.15
57,57750.229364510706,0.15
58,57370.229364510706,0.15
59,56990.229364510706,0.15
60,56610.229364510706,0.15
61,56230.229364510706,0.15
62,55850.229364510706,0.15
63,55323.229364510706,0.15
64,54930.729364510706,0.15
65,54538.229364510706,0.15
66,54158.229364510706,0.15
67,53778.229364510706,0.15
68,54392.53922106281,0.15
69,53871.53922106281,0.15
70,53212.03922106281,0.15
71,52794.53922106282,0.15
72,52148.03922106282,0.15
73,51755.53922106282,0.15
74,51239.03922106282,0.15
75,50846.53922106282,0.15
76,53295.68314288018,0.15
77,53715.82732403831,0.15
78,53335.82732403831,0.15
79,53764.5651936854,0.15
80,53384.5651936854,0.15
81,52813.565193685405,0.15
82,52421.065193685405,0.15
83,52028.565193685405,0.15
84,51462.565193685405,0.15
85,51070.065193685405,0.15
86,50980.50528407417,0.15
87,50575.50528407417,0.15
88,50183.00528407417,0.15
89,50037.664788414004,0.15
90,50268.013659657416,0.15
91,49588.5136596574,0.15
92,49171.0136596574,0.15
93,49478.22264107986,0.15
94,49711.580473745125,0.15
95,49319.080473745125,0.15
96,60531.70063095144,0.15
97,60760.209621078604,0.15
98,60776.07152807729,0.15
99,60311.07152807729,0.15
100,59676.57152807729,0.15
101,60335.64544637278,0.15
102,61538.36003530773,0.15
103,60915.36003530773,0.15
104,61163.89910331732,0.15
105,61588.278642184814,0.15
106,61533.862161730984,0.15
107,61711.27169229153,0.15
108,61233.77169229153,0.15
109,61641.55631892235,0.15
110,60980.056318922354,0.15
111,60314.05631892233,0.15
112,61684.95361561309,0.15
113,61199.95361561309,0.15
114,60727.45361561309,0.15
115,61397.55107339349,0.15
116,61325.70348586834,0.15
117,60724.70348586834,0.15
118,59857.20348586834,0.15
119,58971.20348586834,0.15
120,57702.70348586834,0.15
121,59037.97540008074,0.15
122,58515.47540008074,0.15
123,61449.3975363973,0.15
124,62129.74237688729,0.15
125,61897.23010834042,0.15
126,62675.48093096001,0.15
127,68173.58058696709,0.15
128,67388.58058696709,0.15
129,68727.30862263366,0.15
130,68573.5130388407,0.15
131,68056.0130388407,0.15
