time_step,nums,service_type
1,2,A
1,4,B
1,4,C
2,4,A
2,8,B
2,8,C
3,6,A
3,12,B
3,12,C
4,8,A
4,16,B
4,16,C
5,10,A
5,20,B
5,20,C
6,12,A
6,24,B
6,24,C
7,14,A
7,28,B
7,28,C
8,16,A
8,32,B
8,32,C
9,18,A
9,36,B
9,36,C
10,20,A
10,40,B
10,40,C
11,22,A
11,44,B
11,44,C
12,24,A
12,48,B
12,48,C
13,26,A
13,52,B
13,52,C
14,28,A
14,56,B
14,56,C
15,30,A
15,60,B
15,60,C
16,32,A
16,64,B
16,64,C
17,34,A
17,68,B
17,68,C
18,36,A
18,72,B
18,72,C
19,38,A
19,76,B
19,76,C
20,40,A
20,80,B
20,80,C
21,42,A
21,84,B
21,84,C
22,44,A
22,88,B
22,88,C
23,46,A
23,92,B
23,92,C
24,48,A
24,96,B
24,96,C
25,50,A
25,100,B
25,100,C
26,52,A
26,104,B
26,104,C
27,54,A
27,108,B
27,108,C
28,56,A
28,112,B
28,112,C
29,58,A
29,116,B
29,116,C
30,60,A
30,120,B
30,120,C
31,62,A
31,124,B
31,124,C
32,64,A
32,128,B
32,128,C
33,66,A
33,132,B
33,132,C
34,68,A
34,136,B
34,136,C
35,70,A
35,140,B
35,140,C
36,72,A
36,144,B
36,144,C
37,74,A
37,148,B
37,148,C
38,76,A
38,152,B
38,152,C
39,78,A
39,156,B
39,156,C
40,80,A
40,160,B
40,160,C
41,82,A
41,164,B
41,164,C
42,84,A
42,168,B
42,168,C
43,86,A
43,172,B
43,172,C
44,88,A
44,176,B
44,176,C
45,90,A
45,180,B
45,180,C
46,92,A
46,184,B
46,184,C
47,94,A
47,188,B
47,188,C
48,96,A
48,192,B
48,192,C
49,98,A
49,196,B
49,196,C
50,100,A
50,200,B
50,200,C
51,102,A
51,204,B
51,204,C
52,104,A
52,208,B
52,208,C
53,106,A
53,212,B
53,212,C
54,108,A
54,216,B
54,216,C
55,110,A
55,220,B
55,220,C
56,112,A
56,224,B
56,224,C
57,114,A
57,228,B
57,228,C
58,116,A
58,232,B
58,232,C
59,118,A
59,236,B
59,236,C
60,120,A
60,240,B
60,240,C
61,122,A
61,244,B
61,244,C
62,124,A
62,248,B
62,248,C
63,126,A
63,252,B
63,252,C
64,128,A
64,256,B
64,256,C
65,130,A
65,260,B
65,260,C
66,132,A
66,264,B
66,264,C
67,134,A
67,268,B
67,268,C
68,136,A
68,272,B
68,272,C
69,138,A
69,276,B
69,276,C
70,140,A
70,280,B
70,280,C
71,142,A
71,284,B
71,284,C
72,144,A
72,288,B
72,288,C
73,146,A
73,292,B
73,292,C
74,148,A
74,296,B
74,296,C
75,150,A
75,300,B
75,300,C
76,152,A
76,304,B
76,304,C
77,154,A
77,308,B
77,308,C
78,156,A
78,312,B
78,312,C
79,158,A
79,316,B
79,316,C
80,160,A
80,320,B
80,320,C
81,162,A
81,324,B
81,324,C
82,164,A
82,328,B
82,328,C
83,166,A
83,332,B
83,332,C
84,168,A
84,336,B
84,336,C
85,170,A
85,340,B
85,340,C
86,172,A
86,344,B
86,344,C
87,174,A
87,348,B
87,348,C
88,176,A
88,352,B
88,352,C
89,178,A
89,356,B
89,356,C
90,180,A
90,360,B
90,360,C
91,182,A
91,364,B
91,364,C
92,184,A
92,368,B
92,368,C
93,186,A
93,372,B
93,372,C
94,188,A
94,376,B
94,376,C
95,190,A
95,380,B
95,380,C
96,192,A
96,384,B
96,384,C
97,194,A
97,388,B
97,388,C
98,196,A
98,392,B
98,392,C
99,198,A
99,396,B
99,396,C
100,200,A
100,400,B
100,400,C
101,202,A
101,404,B
101,404,C
102,204,A
102,408,B
102,408,C
103,206,A
103,412,B
103,412,C
104,208,A
104,416,B
104,416,C
105,210,A
105,420,B
105,420,C
106,212,A
106,424,B
106,424,C
107,214,A
107,428,B
107,428,C
108,216,A
108,432,B
108,432,C
109,218,A
109,436,B
109,436,C
110,220,A
110,440,B
110,440,C
111,222,A
111,444,B
111,444,C
112,224,A
112,448,B
112,448,C
113,226,A
113,452,B
113,452,C
114,228,A
114,456,B
114,456,C
115,230,A
115,460,B
115,460,C
116,232,A
116,464,B
116,464,C
117,235,A
117,468,B
117,468,C
118,238,A
118,472,B
118,472,C
119,241,A
119,476,B
119,476,C
120,244,A
120,480,B
120,480,C
121,247,A
121,484,B
121,484,C
122,250,A
122,488,B
122,488,C
123,253,A
123,492,B
123,492,C
124,256,A
124,496,B
124,496,C
125,259,A
125,500,B
125,500,C
126,262,A
126,504,B
126,504,C
127,266,A
127,508,B
127,508,C
128,270,A
128,512,B
128,512,C
129,274,A
129,516,B
129,516,C
130,278,A
130,520,B
130,520,C
131,282,A
131,524,B
131,524,C
132,286,A
132,528,B
132,528,C
133,290,A
133,532,B
133,532,C
134,294,A
134,536,B
134,536,C
135,298,A
135,540,B
135,540,C
136,302,A
136,544,B
136,544,C
137,306,A
137,548,B
137,548,C
138,310,A
138,552,B
138,552,C
139,314,A
139,556,B
139,556,C
140,318,A
140,560,B
140,560,C
141,322,A
141,564,B
141,564,C
142,326,A
142,568,B
142,568,C
143,330,A
143,572,B
143,572,C
144,334,A
144,576,B
144,576,C
145,338,A
145,580,B
145,580,C
146,342,A
146,584,B
146,584,C
147,346,A
147,588,B
147,588,C
148,350,A
148,592,B
148,592,C
149,354,A
149,596,B
149,596,C
150,358,A
150,600,B
150,600,C
151,362,A
151,604,B
151,605,C
152,366,A
152,608,B
152,610,C
153,370,A
153,612,B
153,615,C
154,374,A
154,616,B
154,620,C
155,378,A
155,620,B
155,625,C
156,382,A
156,624,B
156,630,C
157,386,A
157,628,B
157,635,C
158,390,A
158,632,B
158,640,C
159,394,A
159,636,B
159,645,C
