time_step,avg_reward
1,27540.269205077766
2,27340.269205077766
3,26693.866522268407
4,26493.86652226841
5,27457.356391004927
6,27045.82521642651
7,26823.602994204288
8,26601.38077198206
9,26401.380771982065
10,26201.380771982065
11,27133.610440234737
12,26836.111621079363
13,26627.77828774603
14,27414.73981836594
15,27214.739818365935
16,27014.739818365935
17,27030.82469618139
18,31005.960461617397
19,37013.91410977142
20,36753.914109771424
21,37825.88312330339
22,37565.883123303385
23,37327.820623303385
24,36280.15395663672
25,35972.23728997006
26,35422.65395663672
27,35116.82062330339
28,34831.820623303385
29,35815.351300138005
30,36913.02549204602
31,37742.528759113855
32,37457.528759113855
33,36731.238896522715
34,36423.32222985604
35,36138.32222985604
36,35853.32222985604
37,36653.856571569144
38,36368.85657156914
39,36083.85657156914
40,35798.85657156914
41,36355.54467540416
42,36070.54467540417
43,35688.209701293716
44,37102.69216476816
45,36832.275498101495
46,36045.13494539768
47,35325.811188863954
48,35017.89452219728
49,34732.89452219728
50,34691.28214056675
51,35107.88140060589
52,35387.58911519086
53,36324.104852741315
54,36014.10485274131
55,35749.93818607464
56,35485.77151940798
57,35225.77151940798
58,34965.77151940797
59,34705.77151940798
60,34519.186041386485
61,38769.18487588231
62,43394.70197564876
63,43074.70197564876
64,42754.70197564876
65,42434.70197564876
66,42114.70197564876
67,41794.70197564876
68,41474.70197564876
69,41154.70197564876
70,40834.70197564876
71,40888.66022207819
72,40563.66022207819
73,40238.6602220782
74,39787.1498243347
75,39449.036632734096
76,39111.93372402678
77,38786.93372402678
78,38461.75275248245
79,37624.31014262597
80,37497.597528337494
81,37837.78269639823
82,37507.78269639824
83,37176.259125660465
84,36844.59245899379
85,37186.85824034343
86,36797.32450093701
87,36407.57667194303
88,36062.41103863203
89,35742.41103863203
90,35531.52013071018
91,35744.88261013588
92,35512.42463620617
93,35167.42463620617
94,34847.42463620617
95,34527.42463620617
96,34470.56944983744
97,34922.01682043557
98,37137.50641974742
99,41105.470555144704
100,43502.95146234651
101,50992.90585782639
102,51579.8512991461
103,50885.89077345687
104,53126.494588185225
105,56175.94505707771
106,61175.0385826395
107,61365.22661150282
108,60820.43494483615
109,61465.5046122709
110,61213.19289417713
111,64932.95730346678
112,65652.6397815597
113,65132.84811489303
114,64408.431448226365
115,63348.88015592589
116,62997.39627789954
117,61705.81457961085
118,60909.938366588976
119,61609.363638589
120,61026.410233590184
121,65359.81963956635
122,66411.90643411303
123,68795.33489434583
124,69568.64754656372
125,70240.25616162577
126,69785.17657251089
127,74073.018037537
128,73116.32143224266
129,72329.07072324
130,71823.000156412
131,73260.698844115
132,72178.0746004227
133,72117.57347068936
134,71342.70025343764
135,73054.00200023496
136,72365.02896428152
137,75231.4201793255
138,83177.70862041408
139,82480.25654756968
140,82926.11544847419
141,87846.14699263846
142,87205.01796038038
143,86723.08726093588
144,86279.46265701014
145,85606.14427688449
146,84932.75718011029
147,84256.62158468175
148,85342.52463990034
149,84702.99338990034
150,87551.2722570469
151,93785.72592935261
152,97987.6122950397
153,97514.64569096586
154,96908.16393040307
155,96813.04972474012
156,96806.4264024016
157,95998.09684482872
158,95303.47118839815
159,95544.3741482491
160,95956.66679936419
161,97358.631253072
162,97771.0388936446
163,100122.10723838191
164,106867.56868563431
165,106102.56868563431
166,104705.62847365679
167,106541.259501243
168,108769.0639745714
169,111482.30432512313
170,110675.52514515516
171,112640.52494722586
172,114196.06622987917
173,114061.44328245711
174,114796.43086602885
175,115473.09240925849
176,117993.31027025939
177,126027.58364249559
178,129234.791705513
