time_step,energy,service_type
1,2860.269177787728,A
1,3381.319640312409,B
1,2983.709523922996,C
2,2840.269177787728,A
2,3361.319640312409,B
2,2963.709523922996,C
3,2820.269177787728,A
3,3341.319640312409,B
3,2943.709523922996,C
4,2800.269177787728,A
4,3321.319640312409,B
4,2923.709523922996,C
5,2780.269177787728,A
5,3301.319640312409,B
5,2903.709523922996,C
6,2760.269177787728,A
6,3281.319640312409,B
6,2883.709523922996,C
7,2740.269177787728,A
7,3261.319640312409,B
7,2863.709523922996,C
8,2720.269177787728,A
8,3241.319640312409,B
8,2843.709523922996,C
9,2700.269177787728,A
9,3221.319640312409,B
9,2823.709523922996,C
10,2680.269177787728,A
10,3201.319640312409,B
10,2803.709523922996,C
11,2724.718258653723,A
11,3115.5061055472333,B
11,2817.298518255174,C
12,2704.718258653723,A
12,3042.132715889702,B
12,2797.298518255174,C
13,2684.718258653723,A
13,3019.007715889702,B
13,2777.298518255174,C
14,2664.718258653723,A
14,2999.007715889702,B
14,2757.298518255174,C
15,2644.718258653723,A
15,2906.182839117596,B
15,2737.298518255174,C
16,2624.718258653723,A
16,3224.781288531147,B
16,2717.298518255174,C
17,2604.718258653723,A
17,3204.781288531147,B
17,2697.298518255174,C
18,2584.718258653723,A
18,3184.781288531147,B
18,2677.298518255174,C
19,2564.718258653723,A
19,3572.784641253932,B
19,2657.298518255174,C
20,2544.718258653723,A
20,3552.784641253932,B
20,2637.298518255174,C
21,2634.782922873889,A
21,3390.832709824046,B
21,2704.218117574977,C
22,2614.782922873889,A
22,3370.832709824046,B
22,2684.218117574977,C
23,2594.782922873889,A
23,3350.832709824046,B
23,2664.218117574977,C
24,2497.534441124709,A
24,3330.832709824046,B
24,2644.218117574977,C
25,2471.284441124709,A
25,3310.832709824046,B
25,2624.218117574977,C
26,2445.034441124709,A
26,3290.832709824046,B
26,2604.218117574977,C
27,2425.034441124709,A
27,3270.832709824046,B
27,2584.218117574977,C
28,2405.034441124709,A
28,3250.832709824046,B
28,2564.218117574977,C
29,3077.3817391105495,A
29,3230.832709824046,B
29,2544.218117574977,C
30,3057.3817391105495,A
30,3210.832709824046,B
