time_step,eq_times_productivity,tax_rate
1,27540.269205077766,0.25
2,27340.269205077766,0.25
3,26693.866522268407,0.25
4,26493.86652226841,0.25
5,27457.356391004927,0.25
6,27045.82521642651,0.25
7,26823.602994204288,0.25
8,26601.38077198206,0.25
9,26401.380771982065,0.25
10,26201.380771982065,0.25
11,27133.610440234737,0.25
12,26836.111621079363,0.25
13,26627.77828774603,0.25
14,27414.73981836594,0.25
15,27214.739818365935,0.25
16,27014.739818365935,0.25
17,27030.82469618139,0.25
18,31005.960461617397,0.25
19,37013.91410977142,0.25
20,36753.914109771424,0.25
21,37825.88312330339,0.25
22,37565.883123303385,0.25
23,37327.820623303385,0.25
24,36280.15395663672,0.25
25,35972.23728997006,0.25
26,35422.65395663672,0.25
27,35116.82062330339,0.25
28,34831.820623303385,0.25
29,35815.351300138005,0.25
30,36913.02549204602,0.25
31,37742.528759113855,0.25
32,37457.528759113855,0.25
33,36731.238896522715,0.25
34,36423.32222985604,0.25
35,36138.32222985604,0.25
36,35853.32222985604,0.25
37,36653.856571569144,0.25
38,36368.85657156914,0.25
39,36083.85657156914,0.25
40,35798.85657156914,0.25
41,36355.54467540416,0.25
42,36070.54467540417,0.25
43,35688.209701293716,0.25
44,37102.69216476816,0.25
45,36832.275498101495,0.25
46,36045.13494539768,0.25
47,35325.811188863954,0.25
48,35017.89452219728,0.25
49,34732.89452219728,0.25
50,34691.28214056675,0.25
51,35107.88140060589,0.25
52,35387.58911519086,0.25
53,36324.104852741315,0.25
54,36014.10485274131,0.25
55,35749.93818607464,0.25
56,35485.77151940798,0.25
57,35225.77151940798,0.25
58,34965.77151940797,0.25
59,34705.77151940798,0.25
60,34519.186041386485,0.25
61,38769.18487588231,0.25
62,43394.70197564876,0.25
63,43074.70197564876,0.25
64,42754.70197564876,0.25
65,42434.70197564876,0.25
66,42114.70197564876,0.25
67,41794.70197564876,0.25
68,41474.70197564876,0.25
69,41154.70197564876,0.25
70,40834.70197564876,0.25
71,40888.66022207819,0.25
72,40563.66022207819,0.25
73,40238.6602220782,0.25
74,39787.1498243347,0.25
75,39449.036632734096,0.25
76,39111.93372402678,0.25
77,38786.93372402678,0.25
78,38461.75275248245,0.25
79,37624.31014262597,0.25
80,37497.597528337494,0.25
81,37837.78269639823,0.25
82,37507.78269639824,0.25
83,37176.259125660465,0.25
84,36844.59245899379,0.25
85,37186.85824034343,0.25
86,36797.32450093701,0.25
87,36407.57667194303,0.25
88,36062.41103863203,0.25
89,35742.41103863203,0.25
90,35531.52013071018,0.25
91,35744.88261013588,0.25
92,35512.42463620617,0.25
93,35167.42463620617,0.25
94,34847.42463620617,0.25
95,34527.42463620617,0.25
96,34470.56944983744,0.25
97,34922.01682043557,0.25
98,37137.50641974742,0.25
99,41105.470555144704,0.25
100,43502.95146234651,0.25
101,50992.90585782639,0.25
102,51579.8512991461,0.25
103,50885.89077345687,0.25
104,53126.494588185225,0.25
105,56175.94505707771,0.25
106,61175.0385826395,0.25
107,61365.22661150282,0.25
108,60820.43494483615,0.25
109,61465.5046122709,0.25
110,61213.19289417713,0.25
111,64932.95730346678,0.25
112,65652.6397815597,0.25
113,65132.84811489303,0.25
114,64408.431448226365,0.25
115,63348.88015592589,0.25
116,62997.39627789954,0.25
117,61705.81457961085,0.25
118,60909.938366588976,0.25
119,61609.363638589,0.25
120,61026.410233590184,0.25
121,65359.81963956635,0.25
122,66411.90643411303,0.25
123,68795.33489434583,0.25
124,69568.64754656372,0.25
125,70240.25616162577,0.25
126,69785.17657251089,0.25
127,74073.018037537,0.25
128,73116.32143224266,0.25
129,72329.07072324,0.25
130,71823.000156412,0.25
131,73260.698844115,0.25
132,72178.0746004227,0.25
133,72117.57347068936,0.25
134,71342.70025343764,0.25
135,73054.00200023496,0.25
136,72365.02896428152,0.25
137,75231.4201793255,0.25
138,83177.70862041408,0.25
139,82480.25654756968,0.25
140,82926.11544847419,0.25
141,87846.14699263846,0.25
142,87205.01796038038,0.25
143,86723.08726093588,0.25
144,86279.46265701014,0.25
145,85606.14427688449,0.25
146,84932.75718011029,0.25
147,84256.62158468175,0.25
148,85342.52463990034,0.25
149,84702.99338990034,0.25
150,87551.2722570469,0.25
151,93785.72592935261,0.25
152,97987.6122950397,0.25
153,97514.64569096586,0.25
154,96908.16393040307,0.25
155,96813.04972474012,0.25
156,96806.4264024016,0.25
157,95998.09684482872,0.25
158,95303.47118839815,0.25
159,95544.3741482491,0.25
160,95956.66679936419,0.25
161,97358.631253072,0.25
162,97771.0388936446,0.25
163,100122.10723838191,0.25
164,106867.56868563431,0.25
165,106102.56868563431,0.25
166,104705.62847365679,0.25
167,106541.259501243,0.25
168,108769.0639745714,0.25
169,111482.30432512313,0.25
170,110675.52514515516,0.25
171,112640.52494722586,0.25
172,114196.06622987917,0.25
173,114061.44328245711,0.25
174,114796.43086602885,0.25
175,115473.09240925849,0.25
176,117993.31027025939,0.25
177,126027.58364249559,0.25
178,129234.791705513,0.25
179,137827.1986549813,0.25
180,151050.29509697,0.25
181,161702.7032964483,0.25
182,165430.50778974599,0.25
183,166760.43583300835,0.25
184,166628.85719853838,0.25
185,169402.73288230604,0.25
186,167744.3156557132,0.25
187,167480.4889048166,0.25
188,169709.87158805295,0.25
189,174100.8582147588,0.25
190,174081.45542725897,0.25
191,177731.3325503538,0.25
192,176779.02182080134,0.25
193,175526.74101242033,0.25
194,174780.29823066026,0.25
195,173998.39946320595,0.25
196,172593.69232487172,0.25
197,171784.06878046287,0.25
198,170566.63882549008,0.25
199,170216.11246235322,0.25
200,169367.53906422632,0.25
201,172170.9992960182,0.25
202,172571.6554896914,0.25
203,174729.64271019248,0.25
204,180322.6566789683,0.25
205,179195.91281501018,0.25
206,179232.02884172756,0.25
207,177408.4200064733,0.25
208,176128.72010972552,0.25
209,174870.46614147158,0.25
210,173117.13892327066,0.25
211,177884.3211771058,0.25
212,176374.96081209974,0.25
213,175038.14509950794,0.25
214,172972.14526981823,0.25
215,172803.6139502963,0.25
216,171671.99336935225,0.25
217,177577.94778779804,0.25
218,181264.04022304807,0.25
219,180368.4194062284,0.25
220,181283.55847227777,0.25
221,188987.78820551807,0.25
222,194652.96290593848,0.25
223,194317.81690336077,0.25
224,196673.92116774703,0.25
225,200369.9991428483,0.25
226,198734.15289130632,0.25
227,198153.68142078663,0.25
228,196449.37420186098,0.25
229,194667.80160449247,0.25
230,192374.05259218827,0.25
231,195983.02290036457,0.25
232,195546.75946498365,0.25
233,194086.75946498365,0.25
234,194430.90441778398,0.25
235,197017.4526805524,0.25
236,201790.8814382825,0.25
237,200270.88143828246,0.25
238,198553.72372521934,0.25
239,197504.99932014215,0.25
