time_step,productivity,tax_rate
1,31180.655012517076,0.25
2,30980.655012517076,0.25
3,30780.655012517076,0.25
4,30580.655012517076,0.25
5,30380.655012517076,0.25
6,30180.655012517076,0.25
7,29980.655012517076,0.25
8,29780.655012517076,0.25
9,29580.655012517076,0.25
10,29380.655012517076,0.25
11,29180.655012517076,0.25
12,28767.161453886947,0.25
13,28554.661453886947,0.25
14,28354.661453886947,0.25
15,27863.361946798526,0.25
16,29017.755744452727,0.25
17,28817.755744452727,0.25
18,28617.755744452727,0.25
19,30049.76915534387,0.25
20,29849.76915534387,0.25
21,29649.76915534387,0.25
22,29449.76915534387,0.25
23,29249.76915534387,0.25
24,28895.272191845514,0.25
25,28682.772191845514,0.25
26,28470.272191845514,0.25
27,28270.272191845514,0.25
28,28070.272191845514,0.25
29,29254.96678781719,0.25
30,29054.96678781719,0.25
31,28854.96678781719,0.25
32,28654.96678781719,0.25
33,28172.842641771604,0.25
34,27960.342641771604,0.25
35,27747.842641771604,0.25
36,27298.898132130453,0.25
37,26831.252379359677,0.25
38,26465.690989166847,0.25
39,28146.020296588562,0.25
40,29364.733653403102,0.25
41,30651.2651182487,0.25
42,30451.2651182487,0.25
43,31645.355938149023,0.25
44,31445.355938149023,0.25
45,31245.355938149023,0.25
46,30895.276037311825,0.25
47,30682.776037311825,0.25
48,30470.276037311825,0.25
49,30031.392406648967,0.25
50,29818.892406648967,0.25
51,29606.392406648974,0.25
52,30420.94020702069,0.25
53,30208.44020702069,0.25
54,29995.94020702069,0.25
55,29783.44020702069,0.25
56,29411.643289622552,0.25
57,29186.643289622552,0.25
58,28961.643289622552,0.25
59,28749.143289622552,0.25
60,28536.643289622552,0.25
61,29872.77659548843,0.25
62,29660.27659548843,0.25
63,29460.27659548843,0.25
64,31114.477175114247,0.25
65,30914.477175114247,0.25
66,30714.477175114247,0.25
67,30514.477175114247,0.25
68,30069.600055624232,0.25
69,29589.61844123093,0.25
70,29364.61844123093,0.25
71,29139.61844123093,0.25
72,28914.61844123093,0.25
73,28689.61844123093,0.25
74,28256.854674029557,0.25
75,28019.354674029557,0.25
76,27781.854674029557,0.25
