time_step,eq_times_productivity,tax_rate
1,26326.807269264664,0.0
2,26126.807269264664,0.0
3,25490.270358852184,0.0
4,25183.603692185516,0.0
5,26168.498922636136,0.0
6,25717.363280613405,0.0
7,25495.141058391182,0.0
8,25272.91883616896,0.0
9,25631.463543273003,0.0
10,25431.463543273003,0.0
11,25573.72638179106,0.0
12,25237.49802474329,0.0
13,25006.942469187732,0.0
14,25827.068649779765,0.0
15,25031.068649779765,0.0
16,24806.06864977976,0.0
17,24811.57401543129,0.0
18,32974.060442409645,0.0
19,42521.523447235006,0.0
20,49533.078631196375,0.0
21,50596.49270436126,0.0
22,50276.49270436126,0.0
23,50014.186721262864,0.0
24,49694.186721262864,0.0
25,49374.186721262864,0.0
26,48925.760225488266,0.0
27,48594.0935588216,0.0
28,47770.16022548827,0.0
29,47428.493558821596,0.0
30,47086.82689215494,0.0
31,46745.16022548827,0.0
32,46670.99215585653,0.0
33,46018.99215585653,0.0
34,46569.13758713188,0.0
35,45975.137587131874,0.0
36,45655.137587131874,0.0
37,46025.00198406383,0.0
38,47582.19785310986,0.0
39,47735.82689379946,0.0
40,47415.826893799465,0.0
41,47095.826893799465,0.0
42,46775.82689379946,0.0
43,46229.77304778993,0.0
44,45896.439714456596,0.0
45,45561.51239844974,0.0
46,44764.50900886749,0.0
47,44444.509008867484,0.0
48,43809.10206486915,0.0
49,45469.507989420264,0.0
50,44929.50798942027,0.0
51,44591.174656086936,0.0
52,44252.8413227536,0.0
53,44531.78466406578,0.0
54,44211.78466406577,0.0
55,43891.78466406577,0.0
56,45070.33072443683,0.0
57,48716.68099441562,0.0
58,52005.91410108294,0.0
59,51625.91410108293,0.0
60,51245.91410108294,0.0
61,50865.91410108294,0.0
62,50485.91410108293,0.0
63,50105.91410108294,0.0
64,49431.91410108294,0.0
65,49026.91410108294,0.0
66,48621.91410108293,0.0
67,48241.91410108293,0.0
68,47861.91410108294,0.0
69,49422.053133439236,0.0
70,48884.94684151071,0.0
71,48485.502397066266,0.0
72,48086.05795262182,0.0
73,47686.613508177375,0.0
74,46885.497688464246,0.0
75,46356.886577353136,0.0
76,46736.07598481852,0.0
77,46342.18709592963,0.0
78,45948.29820704074,0.0
79,45153.221700675895,0.0
80,45789.46868676837,0.0
81,45394.19090899059,0.0
82,45512.400049865006,0.0
83,45128.23338319834,0.0
84,46001.19580501029,0.0
85,45610.08469389918,0.0
86,45021.76607777947,0.0
87,44764.202416821245,0.0
88,44164.891342474395,0.0
89,44054.33755929316,0.0
90,44061.19332699114,0.0
91,43048.05995689355,0.0
92,42604.17106800466,0.0
93,41911.05995689354,0.0
94,43360.87307092399,0.0
95,42932.26195981288,0.0
96,43509.53939247908,0.0
97,43068.42828136797,0.0
98,43512.47953955661,0.0
99,43069.97953955661,0.0
100,42073.035095112165,0.0
101,41468.733954088064,0.0
102,40979.60677448158,0.0
103,40525.99566337047,0.0
104,40105.71788559269,0.0
105,42500.25946898851,0.0
106,44028.08608787382,0.0
107,49469.50596672163,0.0
108,58228.38837528535,0.0
109,59924.49094006477,0.0
110,59222.1992733981,0.0
111,58158.15760673143,0.0
112,57617.53260673143,0.0
113,57101.90760673144,0.0
114,58798.51313168604,0.0
115,58716.874557293646,0.0
116,59627.19241456691,0.0
117,58814.1924145669,0.0
118,58253.1924145669,0.0
119,58775.79279117282,0.0
120,58658.83631160392,0.0
121,57658.283120579166,0.0
122,58753.23822600647,0.0
123,58186.238226006484,0.0
124,60222.07291571238,0.0
125,59464.433791820535,0.0
126,62004.45566328614,0.0
127,61448.40773929423,0.0
128,60619.24413138199,0.0
129,60054.24413138199,0.0
130,59505.24413138199,0.0
131,58752.83281305646,0.0
132,58315.596249521666,0.0
133,58527.62569134306,0.0
134,57788.07563351533,0.0
135,56730.010198703654,0.0
136,56974.84574708143,0.0
137,56431.79162992485,0.0
138,60451.58016927199,0.0
139,67384.30140696876,0.0
140,67348.07816224506,0.0
141,66721.6495908165,0.0
142,67039.24201058505,0.0
143,66144.08857136835,0.0
144,65518.552857082635,0.0
145,65894.88787331182,0.0
146,65387.96629010591,0.0
147,64791.894861534485,0.0
148,64080.00205516144,0.0
149,64544.05466880642,0.0
150,63735.66181166356,0.0
151,63089.02556844807,0.0
152,62469.739854162355,0.0
153,61852.239854162355,0.0
154,63126.42430523997,0.0
155,68216.47156064845,0.0
156,77598.04695759017,0.0
157,79895.94510464008,0.0
158,84076.6797041934,0.0
159,83267.49051500422,0.0
160,82504.24727176096,0.0
161,82240.11100323279,0.0
162,83141.92402004793,0.0
163,85778.6695987395,0.0
164,88164.67494132285,0.0
165,87335.1496580782,0.0
166,87204.4059009916,0.0
167,88475.28261418408,0.0
168,91721.74906388401,0.0
169,95598.04564690382,0.0
170,94715.15428347548,0.0
171,93986.90700781479,0.0
172,96872.13704345362,0.0
173,100592.17273833523,0.0
174,103045.164917385,0.0
175,103991.05028023699,0.0
176,102295.75849727761,0.0
177,102948.84019158946,0.0
178,106066.8307172687,0.0
179,106633.87713814613,0.0
180,106723.91076692393,0.0
181,111793.71958932618,0.0
182,123067.58107581417,0.0
183,134560.40325534897,0.0
184,135058.53172805978,0.0
185,134801.15474046118,0.0
186,135024.64641688004,0.0
187,134136.5873616713,0.0
188,132201.39691936574,0.0
189,130826.02652947772,0.0
190,130996.01877447803,0.0
191,134666.79356509808,0.0
192,140108.908483283,0.0
193,141006.96709413745,0.0
194,139276.5695971978,0.0
195,140023.42800521717,0.0
196,138324.97229599318,0.0
197,137990.01668160286,0.0
198,137159.42089594144,0.0
199,138293.71977707738,0.0
200,141559.60159140758,0.0
201,144642.02303123605,0.0
202,144813.504432793,0.0
203,143162.77239327313,0.0
204,141625.0521402454,0.0
205,142235.29044961414,0.0
206,143932.85178446776,0.0
207,148659.32107931178,0.0
208,147342.49970655233,0.0
209,146794.6069134327,0.0
210,145332.0696555888,0.0
211,144641.89912987806,0.0
212,143427.63267188336,0.0
213,143605.67809772858,0.0
214,146103.92578084415,0.0
215,150344.04677482328,0.0
216,151642.67636685685,0.0
217,153745.41653873393,0.0
218,151748.16247719075,0.0
219,149827.5006220631,0.0
220,148152.23627797238,0.0
221,146848.7870166711,0.0
222,148463.9991882891,0.0
223,147925.51444105039,0.0
224,146194.6599089408,0.0
225,149835.9068759275,0.0
226,151493.75518015225,0.0
227,151188.54797746605,0.0
228,149469.38373405428,0.0
229,149674.42351025523,0.0
230,148246.06303909366,0.0
231,152682.40538042533,0.0
232,157372.33071660448,0.0
233,166869.17250075637,0.0
234,165822.2873898431,0.0
235,164758.18925985083,0.0
236,162890.17661241224,0.0
237,161110.0438994377,0.0
238,159704.39646795572,0.0
239,159447.5918780048,0.0
240,160368.09428279518,0.0
241,161660.76839674645,0.0
242,165645.07200015808,0.0
243,166373.39001125636,0.0
244,165177.39547696023,0.0
245,168713.82844666124,0.0
246,168301.0998553952,0.0
247,166872.38947421583,0.0
248,167890.29681826173,0.0
249,168118.7115113127,0.0
250,171719.21049387654,0.0
251,176142.61777336535,0.0
252,175548.13219844853,0.0
253,173677.09465018538,0.0
254,174672.9486627697,0.0
255,172242.19186093885,0.0
256,170476.01836668287,0.0
257,168733.94823877365,0.0
258,172085.56021796496,0.0
259,173463.04404082673,0.0
260,173108.9196119678,0.0
261,174328.10355800242,0.0
262,175422.3197953859,0.0
263,173172.74718785458,0.0
264,171493.41812560623,0.0
265,169042.65794824445,0.0
266,170035.4922476506,0.0
267,168440.3566146932,0.0
268,166880.68895528908,0.0
269,172512.01625282952,0.0
270,175135.6998493319,0.0
271,178076.62993167373,0.0
272,177462.48928644942,0.0
273,176456.59245409805,0.0
274,176323.02789211486,0.0
275,180249.53420618677,0.0
276,182664.5983317572,0.0
277,182201.39691258455,0.0
278,184549.8113648148,0.0
279,193982.34826283212,0.0
280,195133.19295831272,0.0
281,201768.5656802304,0.0
282,205753.2655605118,0.0
283,209693.10294494577,0.0
284,216238.92261030263,0.0
285,217086.98454958585,0.0
286,218081.66535696594,0.0
287,219899.15460052536,0.0
288,223101.31521053534,0.0
289,226577.73183106346,0.0
290,225336.5593008589,0.0
291,222258.81972713294,0.0
292,220283.706270496,0.0
293,222791.38688008877,0.0
294,220347.5269076686,0.0
295,220413.88590645348,0.0
296,219441.53527316934,0.0
297,217206.8802942121,0.0
298,215162.66190334022,0.0
299,216470.6570082743,0.0
300,214494.86506959988,0.0
301,213329.16491275874,0.0
302,211555.18798770005,0.0
303,212449.22712831676,0.0
304,215105.72008773903,0.0
305,212080.85389877093,0.0
306,210495.9860200816,0.0
307,212294.85371302674,0.0
308,214090.37738420893,0.0
309,218136.5134996993,0.0
310,217444.84612374494,0.0
311,215372.2634429617,0.0
312,213685.34304123544,0.0
313,212261.6072332099,0.0
314,211621.3377956025,0.0
315,211754.14640944268,0.0
316,209975.99715733135,0.0
317,207963.2455426009,0.0
318,205352.54608205985,0.0
319,207759.43719627082,0.0
320,209606.96270594193,0.0
321,212664.02690969713,0.0
322,210787.675666945,0.0
323,210741.9633166607,0.0
324,208135.46639144042,0.0
325,207018.13615231094,0.0
326,205309.50141472186,0.0
327,205622.3612972344,0.0
328,203755.52255632635,0.0
329,202792.95378072784,0.0
330,201494.15417402648,0.0
331,199148.94214855862,0.0
332,199219.24834770744,0.0
333,197116.02764567075,0.0
334,196294.80994755938,0.0
335,193619.37206751437,0.0
336,192272.52895966187,0.0
337,188906.8850037631,0.0
338,187792.32501232435,0.0
339,187388.7281320781,0.0
340,186624.92088154724,0.0
341,187718.35428233186,0.0
342,192160.02924468444,0.0
343,191226.0935602206,0.0
344,196888.28670178592,0.0
345,198753.80983462994,0.0
346,200633.78470647492,0.0
347,198706.3981181799,0.0
348,196878.44133648073,0.0
349,199153.7144695784,0.0
350,202001.75902131214,0.0
351,202552.23000344724,0.0
352,202603.54088022426,0.0
353,203468.99537083658,0.0
354,207154.13865891998,0.0
355,209331.33770220767,0.0
356,206863.12773917554,0.0
357,204865.67168515886,0.0
358,205904.86329378345,0.0
359,203014.66435869655,0.0
360,202068.0033564754,0.0
361,201900.9802081938,0.0
362,199185.10769489227,0.0
363,201145.61875280068,0.0
364,200870.45560849525,0.0
365,197652.25255154056,0.0
