time_step,productivity,tax_rate
1,31180.655012517076,0.0
2,30980.655012517076,0.0
3,30542.655012517076,0.0
4,30182.655012517076,0.0
5,30636.530268900744,0.0
6,30292.530268900744,0.0
7,30080.030268900744,0.0
8,29867.530268900744,0.0
9,30505.347329556807,0.0
10,30305.347329556807,0.0
11,30410.504346406346,0.0
12,30016.004346406346,0.0
13,29791.004346406346,0.0
14,30489.494692121254,0.0
15,29991.494692121254,0.0
16,29778.994692121254,0.0
17,43152.607224555366,0.0
18,57556.45617218932,0.0
19,57263.95617218932,0.0
20,56943.95617218931,0.0
21,57315.66320877176,0.0
22,56995.66320877176,0.0
23,57411.10781329579,0.0
24,57091.10781329579,0.0
25,56771.10781329579,0.0
26,56306.10781329579,0.0
27,55973.60781329579,0.0
28,55357.10781329579,0.0
29,55024.60781329579,0.0
30,54692.10781329579,0.0
31,54359.60781329579,0.0
32,54959.67609156472,0.0
33,54390.67609156472,0.0
34,54575.33496177227,0.0
35,54118.33496177227,0.0
36,53798.33496177227,0.0
37,54010.40538836413,0.0
38,54677.014859037095,0.0
39,55138.08528562896,0.0
40,54818.08528562896,0.0
41,54498.08528562896,0.0
42,54178.08528562896,0.0
43,53631.08528562896,0.0
44,53298.58528562896,0.0
45,52966.08528562896,0.0
46,52388.08528562896,0.0
47,52068.08528562896,0.0
48,51486.08528562896,0.0
49,52875.314880369246,0.0
50,52405.314880369246,0.0
51,52072.814880369246,0.0
52,51740.314880369246,0.0
53,51924.81162935651,0.0
54,51604.81162935651,0.0
55,51284.81162935651,0.0
56,60520.442979613385,0.0
57,60180.442979613385,0.0
58,59800.44297961338,0.0
59,59420.44297961338,0.0
60,59040.44297961338,0.0
61,58660.44297961338,0.0
62,58280.44297961338,0.0
63,57900.44297961338,0.0
64,57373.44297961338,0.0
65,56980.94297961338,0.0
66,56588.44297961338,0.0
67,56208.44297961338,0.0
68,55828.44297961338,0.0
69,56442.75283616549,0.0
70,55958.75283616549,0.0
71,55566.25283616549,0.0
72,55173.75283616549,0.0
73,54781.25283616549,0.0
74,54015.25283616549,0.0
75,53485.25283616549,0.0
76,53955.60876919619,0.0
77,53563.10876919619,0.0
78,53170.60876919619,0.0
79,53077.34663884327,0.0
80,53680.33502679661,0.0
81,53287.83502679661,0.0
82,53576.81575026564,0.0
83,53184.31575026564,0.0
84,54265.95833655848,0.0
85,53873.45833655848,0.0
86,53237.45833655848,0.0
87,53644.801700672455,0.0
88,53151.801700672455,0.0
89,53379.010682094915,0.0
90,53596.85955333833,0.0
91,52822.35955333833,0.0
92,52392.35955333833,0.0
93,51761.85955333833,0.0
94,53863.377835733,0.0
95,53458.377835733,0.0
96,55019.829178561034,0.0
97,54480.329178561034,0.0
98,54805.19108555971,0.0
99,54375.19108555971,0.0
100,53553.19108555971,0.0
101,52916.19108555971,0.0
102,52448.69108555971,0.0
103,52006.19108555971,0.0
104,51601.19108555971,0.0
105,53599.496059158104,0.0
106,66916.32762647737,0.0
107,73892.80229657836,0.0
108,73420.30229657836,0.0
109,73044.73686094757,0.0
110,72293.23686094757,0.0
111,71499.23686094757,0.0
112,70974.23686094757,0.0
113,71604.33431872797,0.0
114,71897.80439322593,0.0
115,72238.08901985674,0.0
116,72423.24310405835,0.0
117,71747.24310405835,0.0
118,71202.24310405835,0.0
119,71295.41760546161,0.0
120,71178.62202166865,0.0
121,70253.62202166866,0.0
122,70826.83046299923,0.0
123,70256.83046299925,0.0
124,71553.40434000507,0.0
125,70818.90434000507,0.0
126,73248.1201716332,0.0
127,72690.6201716332,0.0
128,71880.1201716332,0.0
129,71322.6201716332,0.0
130,70777.6201716332,0.0
131,70004.6201716332,0.0
132,70357.77619361508,0.0
133,70162.75738306956,0.0
134,69290.75738306956,0.0
135,68147.75738306956,0.0
136,68473.98705494031,0.0
137,80568.3715144309,0.0
138,81437.78695033606,0.0
139,82963.46418257081,0.0
140,83331.95482315852,0.0
141,82543.45482315852,0.0
142,83951.7835805646,0.0
143,83783.07418630904,0.0
144,83165.57418630904,0.0
145,83079.22202057592,0.0
146,83409.42338149971,0.0
147,82816.92338149971,0.0
148,83079.18725727635,0.0
149,83222.7211641286,0.0
150,82310.2211641286,0.0
151,81448.7211641286,0.0
152,80831.2211641286,0.0
153,80226.2211641286,0.0
154,94622.13494925621,0.0
155,94770.0610225873,0.0
156,108088.25936740662,0.0
157,106808.25936740662,0.0
158,105342.75936740659,0.0
159,104547.75936740659,0.0
160,103790.25936740659,0.0
161,104490.07984687065,0.0
162,104549.8985985473,0.0
163,110531.14911704403,0.0
164,110297.67281034443,0.0
165,109203.17281034443,0.0
166,110288.93645908557,0.0
167,121025.31968047784,0.0
168,121459.65529712553,0.0
169,120609.65529712554,0.0
170,119569.15529712554,0.0
171,119792.57256662239,0.0
172,121506.92835541074,0.0
173,129552.44381715855,0.0
174,128642.44381715852,0.0
175,128020.26966518017,0.0
176,126372.26966518017,0.0
177,130964.24765835059,0.0
178,130838.76000985026,0.0
179,130611.17929670232,0.0
180,132626.42605419765,0.0
181,155741.63880590827,0.0
182,160411.1765934436,0.0
183,161468.6130368464,0.0
184,161580.66472209906,0.0
185,162028.77546413263,0.0
186,161434.57958675124,0.0
187,160864.61582996976,0.0
188,159284.11582996976,0.0
189,158520.0889496447,0.0
190,166673.15352494342,0.0
191,167450.7340441774,0.0
192,167675.64259831203,0.0
193,168036.58064716688,0.0
194,166213.08064716688,0.0
195,168254.15713953355,0.0
196,166617.65713953355,0.0
197,166322.6185068561,0.0
198,165818.9040998164,0.0
199,175220.51700109043,0.0
200,174890.20073913658,0.0
201,174387.15547275386,0.0
202,174812.64527109457,0.0
203,173340.14527109457,0.0
204,171827.64527109457,0.0
205,181544.4727343864,0.0
206,180047.9727343864,0.0
207,179566.5732500599,0.0
208,178241.5732500599,0.0
209,178851.42764588253,0.0
210,177174.42764588253,0.0
211,176537.83405052585,0.0
212,175591.56520969275,0.0
213,186354.087733729,0.0
214,185478.66058908866,0.0
215,184106.16058908866,0.0
216,186438.45875806597,0.0
217,185731.60932941854,0.0
218,184201.5307976821,0.0
219,182428.5307976821,0.0
220,180787.0307976821,0.0
221,179791.7774677959,0.0
222,181315.6757829728,0.0
223,180476.56823188372,0.0
224,179601.92254131066,0.0
225,183198.07759573284,0.0
226,182370.9797863489,0.0
227,182854.96250463283,0.0
228,181169.46250463283,0.0
229,183071.28606203847,0.0
230,182115.87263752992,0.0
231,206639.02114917838,0.0
232,204919.02114917838,0.0
233,205155.3496515085,0.0
234,204346.4332049154,0.0
235,203821.7416901051,0.0
236,202895.0675810808,0.0
237,201151.5675810808,0.0
238,200385.34554764125,0.0
239,199046.47919912302,0.0
240,212036.1383576211,0.0
241,211064.63443945756,0.0
242,209976.63778639204,0.0
243,209116.50394845323,0.0
244,212288.51606640616,0.0
245,213737.73249407831,0.0
246,211629.23249407831,0.0
247,214809.82083253172,0.0
248,213137.32083253175,0.0
249,225095.9401923584,0.0
250,226524.67195284733,0.0
251,225524.83500163985,0.0
252,224710.5057008171,0.0
253,223421.27463498354,0.0
254,223902.88362024789,0.0
255,221528.38362024789,0.0
256,220152.3226687452,0.0
257,218382.3226687452,0.0
258,223521.53268904684,0.0
259,222310.84591873706,0.0
260,224222.7742032049,0.0
261,223720.15939425086,0.0
262,225467.02072068708,0.0
263,223206.52072068708,0.0
264,223169.32764157953,0.0
265,220859.32764157953,0.0
266,222359.17668426,0.0
267,221381.16931192204,0.0
268,219798.27341628223,0.0
269,232447.65459124904,0.0
270,231991.12763347654,0.0
271,230799.5958377733,0.0
272,229387.1744755546,0.0
273,229883.77631573845,0.0
274,235183.53318080975,0.0
275,236630.09013512387,0.0
276,237700.06686785078,0.0
277,244493.1603522873,0.0
278,249445.7714017889,0.0
279,259711.43817547965,0.0
280,270119.5308578985,0.0
281,272395.2834001252,0.0
282,278363.023739784,0.0
283,289345.1610415269,0.0
284,287424.6348284554,0.0
285,284388.6348284553,0.0
286,290737.84523121966,0.0
287,292385.0945542147,0.0
288,296326.7193486921,0.0
289,295956.1155520336,0.0
290,295747.59827950824,0.0
291,292957.09827950824,0.0
292,291488.6566143055,0.0
293,293357.09896514553,0.0
294,290799.09896514553,0.0
295,290030.1772880458,0.0
296,288979.9187945696,0.0
297,286674.9187945696,0.0
298,289520.1413379163,0.0
299,288317.5455063586,0.0
300,287713.7532412229,0.0
301,286998.94447831245,0.0
302,293921.7642298322,0.0
303,291979.39086134575,0.0
304,290226.46455648297,0.0
305,287869.43919390085,0.0
306,286312.3036660725,0.0
307,298431.09471853304,0.0
308,296572.11719896784,0.0
309,294634.42785577767,0.0
310,293378.08965423773,0.0
311,291309.5025908321,0.0
312,289839.1278671102,0.0
313,291358.5668878223,0.0
314,288706.06688782224,0.0
315,290554.7781560441,0.0
316,288298.2566736769,0.0
317,286951.6659004689,0.0
318,283789.6659004689,0.0
319,286141.37460482505,0.0
320,295107.9757704076,0.0
321,297026.0881835036,0.0
322,296275.32314480626,0.0
323,295236.9519562397,0.0
324,292465.4519562397,0.0
325,290520.56490440306,0.0
326,289397.8448512984,0.0
327,287984.37886186165,0.0
328,286918.7583818651,0.0
329,285473.6104619156,0.0
330,284071.4045009585,0.0
331,281478.4045009585,0.0
332,280673.3785107091,0.0
333,278751.8053528439,0.0
334,277829.4536433344,0.0
335,276502.3819251175,0.0
336,275727.3414285843,0.0
337,272236.8414285843,0.0
338,271279.0135757549,0.0
339,271087.9801913385,0.0
340,280744.3904425141,0.0
341,280458.09888404596,0.0
342,279987.01012126496,0.0
343,278630.04093444784,0.0
344,291992.99596826965,0.0
345,291651.8837052838,0.0
346,289475.5057802632,0.0
347,287640.0440553222,0.0
348,296758.0931901166,0.0
349,295526.41287035594,0.0
350,294033.3978134877,0.0
351,297639.27328742016,0.0
352,302355.9331219937,0.0
353,309501.52054013626,0.0
354,306660.0205401362,0.0
355,303681.52054013626,0.0
356,301777.902449093,0.0
357,305048.77309995977,0.0
358,302854.93027715624,0.0
359,299823.93027715624,0.0
360,299117.460905342,0.0
361,296631.3101621801,0.0
362,294093.0076770731,0.0
363,299946.4570634303,0.0
364,296960.4570634303,0.0
365,293798.9570634303,0.0
