time_step,eq_times_productivity,tax_rate
1,27054.88443075252,0.15
2,26854.88443075252,0.15
3,26654.884430752525,0.15
4,26454.884430752525,0.15
5,26254.88443075252,0.15
6,26054.88443075252,0.15
7,25854.88443075252,0.15
8,25654.88443075252,0.15
9,25454.88443075252,0.15
10,25254.88443075252,0.15
11,25673.750018017206,0.15
12,25473.750018017206,0.15
13,25273.750018017206,0.15
14,25073.750018017206,0.15
15,24838.748493757197,0.15
16,24633.192938201642,0.15
17,24433.192938201642,0.15
18,24233.192938201642,0.15
19,24073.750018017206,0.15
20,23873.750018017203,0.15
21,24399.017852762594,0.15
22,24199.01785276259,0.15
23,23999.017852762594,0.15
24,23567.22554946826,0.15
25,23347.781105023816,0.15
26,23128.33666057937,0.15
27,22928.33666057937,0.15
28,22728.33666057937,0.15
29,23618.268556438983,0.15
30,22992.246829959353,0.15
31,23471.75051305648,0.15
32,23246.75051305648,0.15
33,22955.471095657842,0.15
34,22749.915540102287,0.15
35,22544.359984546732,0.15
36,24118.54997779946,0.15
37,23604.663653619704,0.15
38,23273.074982096776,0.15
39,23447.92051661983,0.15
40,23236.80940550872,0.15
41,24973.28271543443,0.15
42,24773.28271543443,0.15
43,25515.96436755883,0.15
44,25315.96436755883,0.15
45,25115.96436755883,0.15
46,24677.41980827436,0.15
47,24455.197586052138,0.15
48,24255.197586052138,0.15
49,24055.197586052138,0.15
50,25699.153080301196,0.15
51,26217.588119515713,0.15
52,26017.588119515713,0.15
53,25817.588119515716,0.15
54,25728.449220065653,0.15
55,25528.44922006565,0.15
56,25116.05333020147,0.15
57,24899.386663534806,0.15
58,24682.719996868134,0.15
59,24482.719996868138,0.15
60,24282.719996868138,0.15
61,25982.295233841924,0.15
62,25782.29523384192,0.15
63,25582.29523384192,0.15
64,25382.295233841924,0.15
65,25182.29523384192,0.15
66,24982.295233841924,0.15
67,24782.295233841924,0.15
68,24527.878096177476,0.15
69,23879.87998593038,0.15
70,23657.657763708154,0.15
71,24075.579503774494,0.15
72,23986.774044701626,0.15
73,23764.457656237282,0.15
74,23539.457656237286,0.15
75,23314.457656237286,0.15
76,23089.457656237282,0.15
77,22864.457656237282,0.15
78,22639.457656237286,0.15
79,22414.457656237282,0.15
80,22189.457656237282,0.15
81,22680.35791373647,0.15
82,22455.357913736465,0.15
83,22230.35791373647,0.15
84,22005.35791373647,0.15
85,21780.35791373647,0.15
86,21580.35791373647,0.15
87,23475.66046527096,0.15
88,23275.660465270958,0.15
89,23075.66046527096,0.15
90,22754.988488191877,0.15
91,23121.86857925964,0.15
92,22921.86857925964,0.15
93,22721.868579259644,0.15
94,23062.148153449754,0.15
95,22862.148153449758,0.15
96,22662.148153449758,0.15
97,22462.148153449758,0.15
98,22262.148153449754,0.15
99,22062.148153449758,0.15
100,21862.148153449754,0.15
101,22349.238324262096,0.15
102,22149.238324262096,0.15
103,21949.238324262096,0.15
104,21749.2383242621,0.15
105,21127.71191240155,0.15
106,20899.934134623774,0.15
107,20691.60080129044,0.15
108,20491.600801290442,0.15
109,21274.144777571637,0.15
110,21901.853369362245,0.15
111,24325.941973379908,0.15
112,24095.84412972308,0.15
113,23863.34412972308,0.15
114,23643.34412972308,0.15
115,23423.34412972308,0.15
116,23655.1974298125,0.15
117,23182.07364446726,0.15
118,22937.07364446726,0.15
119,22692.073644467262,0.15
120,22240.59886295975,0.15
121,22751.872007680086,0.15
122,24436.906182592225,0.15
123,24135.903460778794,0.15
124,23793.32501469493,0.15
125,24993.40829987644,0.15
126,24773.40829987644,0.15
127,24490.102867808357,0.15
128,25072.298020868904,0.15
129,24844.798020868908,0.15
130,24617.29802086891,0.15
131,25439.393791471874,0.15
132,25211.893791471874,0.15
133,24984.393791471874,0.15
134,24755.501000609394,0.15
135,26573.645596770923,0.15
136,26326.827414952742,0.15
137,26079.6092591863,0.15
138,25828.245622822662,0.15
139,25576.88198645903,0.15
140,25336.88198645903,0.15
