time_step,productivity,tax_rate
1,31180.655012517076,0.15
2,30980.655012517076,0.15
3,30780.655012517076,0.15
4,30420.655012517076,0.15
5,30208.155012517076,0.15
6,29864.155012517076,0.15
7,29651.655012517076,0.15
8,29439.155012517076,0.15
9,30076.97207317314,0.15
10,29876.97207317314,0.15
11,29982.129090022678,0.15
12,29587.629090022678,0.15
13,29362.629090022678,0.15
14,30061.119435737586,0.15
15,29563.119435737586,0.15
16,29350.619435737586,0.15
17,42724.23196817169,0.15
18,57115.58091580564,0.15
19,56810.58091580565,0.15
20,56478.08091580564,0.15
21,56145.58091580564,0.15
22,55813.08091580564,0.15
23,56070.02552032967,0.15
24,55725.02552032967,0.15
25,55380.02552032967,0.15
26,54902.52552032967,0.15
27,54557.52552032967,0.15
28,54825.76103395478,0.15
29,54480.76103395478,0.15
30,54135.76103395478,0.15
31,54710.82931222372,0.15
32,54378.32931222372,0.15
33,54045.82931222372,0.15
34,54217.98818243127,0.15
35,53885.48818243127,0.15
36,53565.48818243127,0.15
37,54202.900142171115,0.15
38,53882.900142171115,0.15
39,53562.900142171115,0.15
40,53242.900142171115,0.15
41,52922.900142171115,0.15
42,52602.900142171115,0.15
43,52055.900142171115,0.15
44,51487.400142171115,0.15
45,51142.400142171115,0.15
46,50551.900142171115,0.15
47,49969.900142171115,0.15
48,49637.400142171115,0.15
49,51203.36435962619,0.15
50,51497.03214517585,0.15
51,51164.53214517585,0.15
52,51336.52889416311,0.15
53,51016.52889416311,0.15
54,50696.52889416311,0.15
55,50376.52889416311,0.15
56,59612.16024441998,0.15
57,59272.16024441998,0.15
58,58892.16024441998,0.15
59,58512.16024441998,0.15
60,58132.16024441998,0.15
61,57752.16024441998,0.15
62,57372.16024441998,0.15
63,56992.16024441998,0.15
64,56426.16024441998,0.15
65,56033.66024441998,0.15
66,55641.16024441998,0.15
67,55261.16024441998,0.15
68,54881.16024441998,0.15
69,54501.16024441998,0.15
70,54529.26535785195,0.15
71,54124.26535785194,0.15
72,53627.76535785194,0.15
73,53235.26535785194,0.15
74,53316.15453967178,0.15
75,53696.47977467672,0.15
76,53291.47977467672,0.15
77,52898.97977467672,0.15
78,53687.44252845845,0.15
79,52910.44252845845,0.15
80,54322.16878605887,0.15
81,53738.66878605888,0.15
82,53346.16878605888,0.15
83,52953.66878605888,0.15
84,53252.59859535852,0.15
85,53259.692250455184,0.15
86,53266.63234084394,0.15
87,52861.63234084394,0.15
88,52996.79184518378,0.15
89,52067.79184518378,0.15
90,52212.63520929777,0.15
91,53213.1362308745,0.15
92,52352.6362308745,0.15
93,53882.431961470145,0.15
94,54115.78979413541,0.15
95,55192.07322974803,0.15
96,55443.395377037654,0.15
97,64976.58478706218,0.15
98,65126.946694060854,0.15
99,64432.44669406086,0.15
100,63967.44669406086,0.15
101,64166.86857323355,0.15
102,63448.86857323355,0.15
103,62714.36857323355,0.15
104,62847.95209277973,0.15
105,62923.99941905026,0.15
106,62233.49941905026,0.15
107,63117.80357136916,0.15
108,62640.30357136916,0.15
109,69589.27824147014,0.15
110,69955.2483159681,0.15
111,82528.20034441989,0.15
112,82920.9849710507,0.15
113,83386.35180626917,0.15
114,82685.35180626917,0.15
115,82152.85180626917,0.15
116,81516.85180626917,0.15
117,80867.35180626917,0.15
118,80888.94926404957,0.15
119,80331.44926404957,0.15
120,79368.94926404957,0.15
121,79022.17060689091,0.15
122,78733.7000963985,0.15
123,79101.98614265712,0.15
124,79979.0282182371,0.15
125,79409.0282182371,0.15
126,80797.32599352571,0.15
127,80919.90555382789,0.15
128,81366.06481837278,0.15
129,81523.42539959594,0.15
130,81595.0978883491,0.15
131,81816.30681276775,0.15
